E4_Gsr 1558613788,382 0,1101879
E4_Gsr 1558613788,632 0,1063441
E4_Gsr 1558613788,882 0,1076253
E4_Gsr 1558613789,132 0,1089066
E4_Gsr 1558613789,382 0,1101879
E4_Gsr 1558613789,632 0,1089066
E4_Gsr 1558613789,882 0,1076253
E4_Gsr 1558613790,132 0,1089066
E4_Gsr 1558613790,382 0,1101879
E4_Gsr 1558613790,632 0,1089066
E4_Gsr 1558613790,882 0,1089066
E4_Gsr 1558613791,132 0,1089066
E4_Gsr 1558613791,382 0,1050628
E4_Gsr 1558613791,632 0,1101879
E4_Gsr 1558613791,882 0,1101879
E4_Gsr 1558613792,132 0,1101879
E4_Gsr 1558613792,382 0,1076253
E4_Gsr 1558613792,632 0,1076253
E4_Gsr 1558613792,882 0,1076253
E4_Gsr 1558613793,132 0,1076253
E4_Gsr 1558613793,382 0,1076253
E4_Gsr 1558613793,632 0,1076253
E4_Gsr 1558613793,882 0,1076253
E4_Gsr 1558613794,132 0,1050628
E4_Gsr 1558613794,382 0,1076253
E4_Gsr 1558613794,632 0,1089066
E4_Gsr 1558613794,882 0,1076253
E4_Gsr 1558613795,132 0,1076253
E4_Gsr 1558613795,382 0,1089066
E4_Gsr 1558613795,632 0,1089066
E4_Gsr 1558613795,882 0,1101879
E4_Gsr 1558613796,132 0,1114691
E4_Gsr 1558613796,382 0,1101879
E4_Gsr 1558613796,632 0,1089066
E4_Gsr 1558613796,882 0,1063441
E4_Gsr 1558613797,132 0,1101879
E4_Gsr 1558613797,382 0,1127504
E4_Gsr 1558613797,632 0,1101879
E4_Gsr 1558613797,882 0,1101879
E4_Gsr 1558613798,132 0,1101879
E4_Gsr 1558613798,382 0,1101879
E4_Gsr 1558613798,632 0,1114691
E4_Gsr 1558613798,882 0,1101879
E4_Gsr 1558613799,132 0,1101879
E4_Gsr 1558613799,382 0,1101879
E4_Gsr 1558613799,632 0,1089066
E4_Gsr 1558613799,882 0,1114691
E4_Gsr 1558613800,132 0,1114691
E4_Gsr 1558613800,382 0,1101879
E4_Gsr 1558613800,632 0,1114691
E4_Gsr 1558613800,882 0,1101879
E4_Gsr 1558613801,132 0,1114691
E4_Gsr 1558613801,382 0,1114691
E4_Gsr 1558613801,632 0,1127504
E4_Gsr 1558613801,882 0,1114691
E4_Gsr 1558613802,132 0,1127504
E4_Gsr 1558613802,382 0,1063441
E4_Gsr 1558613802,632 0,1089066
E4_Gsr 1558613802,882 0,1089066
E4_Gsr 1558613803,132 0,1089066
E4_Gsr 1558613803,382 0,1089066
E4_Gsr 1558613803,632 0,1089066
E4_Gsr 1558613803,882 0,1089066
E4_Gsr 1558613804,132 0,1089066
E4_Gsr 1558613804,382 0,1114691
E4_Gsr 1558613804,632 0,1089066
E4_Gsr 1558613804,882 0,1089066
E4_Gsr 1558613805,132 0,1076253
E4_Gsr 1558613805,382 0,1089066
E4_Gsr 1558613805,632 0,1089066
E4_Gsr 1558613805,882 0,1101879
E4_Gsr 1558613806,132 0,1101879
E4_Gsr 1558613806,382 0,1089066
E4_Gsr 1558613806,632 0,1101879
E4_Gsr 1558613806,882 0,1101879
E4_Gsr 1558613807,132 0,1114691
E4_Gsr 1558613807,382 0,1127504
E4_Gsr 1558613807,632 0,1114691
E4_Gsr 1558613807,882 0,1063441
E4_Gsr 1558613808,132 0,1101879
E4_Gsr 1558613808,382 0,1114691
E4_Gsr 1558613808,632 0,1127504
E4_Gsr 1558613808,882 0,1114691
E4_Gsr 1558613809,132 0,1127504
E4_Gsr 1558613809,382 0,1114691
E4_Gsr 1558613809,632 0,1114691
E4_Gsr 1558613809,882 0,1114691
E4_Gsr 1558613810,132 0,1140316
E4_Gsr 1558613810,382 0,1140316
E4_Gsr 1558613810,632 0,1089066
E4_Gsr 1558613810,882 0,1127504
E4_Gsr 1558613811,132 0,1127504
E4_Gsr 1558613811,382 0,1127504
E4_Gsr 1558613811,632 0,1140316
E4_Gsr 1558613811,882 0,1114691
E4_Gsr 1558613812,132 0,1127504
E4_Gsr 1558613812,382 0,1127504
E4_Gsr 1558613812,632 0,1127504
E4_Gsr 1558613812,882 0,1114691
E4_Gsr 1558613813,132 0,1127504
E4_Gsr 1558613813,382 0,1114691
E4_Gsr 1558613813,632 0,1101879
E4_Gsr 1558613813,882 0,1101879
E4_Gsr 1558613814,132 0,1101879
E4_Gsr 1558613814,382 0,1101879
E4_Gsr 1558613814,632 0,1101879
E4_Gsr 1558613814,882 0,1101879
E4_Gsr 1558613815,132 0,1101879
E4_Gsr 1558613815,382 0,1114691
E4_Gsr 1558613815,632 0,1101879
E4_Gsr 1558613815,882 0,1101879
E4_Gsr 1558613816,132 0,1076253
E4_Gsr 1558613816,382 0,1101879
E4_Gsr 1558613816,632 0,1101879
E4_Gsr 1558613816,882 0,1114691
E4_Gsr 1558613817,132 0,1114691
E4_Gsr 1558613817,382 0,1114691
E4_Gsr 1558613817,632 0,1114691
E4_Gsr 1558613817,882 0,1127504
E4_Gsr 1558613818,132 0,1114691
E4_Gsr 1558613818,382 0,1140316
E4_Gsr 1558613818,632 0,1140316
E4_Gsr 1558613818,882 0,1101879
E4_Gsr 1558613819,132 0,1127504
E4_Gsr 1558613819,382 0,1140316
E4_Gsr 1558613819,632 0,1153129
E4_Gsr 1558613819,882 0,1127504
