E4_Bvp 1558614116,82045 47,85388
E4_Bvp 1558614116,83608 53,08708
E4_Bvp 1558614116,8517 57,08308
E4_Bvp 1558614116,86733 59,87657
E4_Bvp 1558614116,88296 61,51544
E4_Bvp 1558614116,89858 62,10379
E4_Bvp 1558614116,91421 61,8365
E4_Bvp 1558614116,92983 60,99011
E4_Bvp 1558614116,94546 59,85701
E4_Bvp 1558614116,96108 58,70261
E4_Bvp 1558614116,97671 57,75638
E4_Bvp 1558614116,99234 57,14461
E4_Bvp 1558614117,00796 56,91628
E4_Bvp 1558614117,02359 57,02831
E4_Bvp 1558614117,03921 57,30495
E4_Bvp 1558614117,05484 57,4924
E4_Bvp 1558614117,07046 57,23305
E4_Bvp 1558614117,08609 56,173
E4_Bvp 1558614117,10172 54,07715
E4_Bvp 1558614117,11734 50,83957
E4_Bvp 1558614117,13297 46,55057
E4_Bvp 1558614117,14859 41,47264
E4_Bvp 1558614117,16422 35,96191
E4_Bvp 1558614117,17984 30,33226
E4_Bvp 1558614117,19547 24,81944
E4_Bvp 1558614117,2111 19,53314
E4_Bvp 1558614117,22672 14,43671
E4_Bvp 1558614117,24235 9,384094
E4_Bvp 1558614117,25797 4,138138
E4_Bvp 1558614117,2736 -1,570709
E4_Bvp 1558614117,28922 -7,915115
E4_Bvp 1558614117,30485 -14,85237
E4_Bvp 1558614117,32048 -22,10738
E4_Bvp 1558614117,3361 -29,21223
E4_Bvp 1558614117,35173 -35,6978
E4_Bvp 1558614117,36735 -41,30353
E4_Bvp 1558614117,38298 -46,07642
E4_Bvp 1558614117,3986 -50,43942
E4_Bvp 1558614117,41423 -55,05515
E4_Bvp 1558614117,42986 -60,62999
E4_Bvp 1558614117,44548 -67,6976
E4_Bvp 1558614117,46111 -76,36539
E4_Bvp 1558614117,47673 -86,12691
E4_Bvp 1558614117,49236 -95,77521
E4_Bvp 1558614117,50798 -103,4885
E4_Bvp 1558614117,52361 -107,2214
E4_Bvp 1558614117,53924 -105,2553
E4_Bvp 1558614117,55486 -96,79521
E4_Bvp 1558614117,57049 -82,29524
E4_Bvp 1558614117,58611 -63,39063
E4_Bvp 1558614117,60174 -42,42075
E4_Bvp 1558614117,61736 -21,74846
E4_Bvp 1558614117,63299 -3,17627
E4_Bvp 1558614117,64862 12,33234
E4_Bvp 1558614117,66424 24,59772
E4_Bvp 1558614117,67987 33,95177
E4_Bvp 1558614117,69549 40,9341
E4_Bvp 1558614117,71112 46,08754
E4_Bvp 1558614117,72674 49,81299
E4_Bvp 1558614117,74237 52,40401
E4_Bvp 1558614117,758 54,07341
E4_Bvp 1558614117,77362 54,99651
E4_Bvp 1558614117,78925 55,34222
E4_Bvp 1558614117,80487 55,32849
E4_Bvp 1558614117,8205 55,18489
E4_Bvp 1558614117,83613 55,10204
E4_Bvp 1558614117,85175 55,22865
E4_Bvp 1558614117,86738 55,55006
E4_Bvp 1558614117,883 56,00587
E4_Bvp 1558614117,89863 56,48071
E4_Bvp 1558614117,91425 56,88832
E4_Bvp 1558614117,92988 57,16342
E4_Bvp 1558614117,94551 57,19691
E4_Bvp 1558614117,96113 56,77173
E4_Bvp 1558614117,97676 55,54713
E4_Bvp 1558614117,99238 53,14612
E4_Bvp 1558614118,00801 49,30141
E4_Bvp 1558614118,02363 43,99716
E4_Bvp 1558614118,03926 37,57399
E4_Bvp 1558614118,05489 30,63875
E4_Bvp 1558614118,07051 23,90874
E4_Bvp 1558614118,08614 17,99269
E4_Bvp 1558614118,10176 13,16605
E4_Bvp 1558614118,11739 9,254593
E4_Bvp 1558614118,13301 5,795441
E4_Bvp 1558614118,14864 2,14978
E4_Bvp 1558614118,16427 -2,138397
E4_Bvp 1558614118,17989 -7,188522
E4_Bvp 1558614118,19552 -12,75676
E4_Bvp 1558614118,21114 -18,38177
E4_Bvp 1558614118,22677 -23,56898
E4_Bvp 1558614118,24239 -28,09938
E4_Bvp 1558614118,25802 -32,06233
E4_Bvp 1558614118,27365 -35,83098
E4_Bvp 1558614118,28927 -39,96564
E4_Bvp 1558614118,3049 -45,01779
E4_Bvp 1558614118,32052 -51,41789
E4_Bvp 1558614118,33615 -59,3649
E4_Bvp 1558614118,35177 -68,69797
E4_Bvp 1558614118,3674 -78,74489
