p_path,p_weight,p_name,p_description,p_type,p_pictures,p_pic_width,p_pic_height,p_new_width,p_new_height,p_new_size,n,rating_emotion_p_eval_o.response_mean,rating_emotion_p_eval_o.response_raw,rating_emotion_p_eval_o.response_std,rating_emotion_p_eval_o.rt_mean,rating_emotion_p_eval_o.rt_raw,rating_emotion_p_eval_o.rt_std,rating_emotion_p_eval_t.response_mean,rating_emotion_p_eval_t.response_raw,rating_emotion_p_eval_t.response_std,rating_emotion_p_eval_t.rt_mean,rating_emotion_p_eval_t.rt_raw,rating_emotion_p_eval_t.rt_std,order
Resources\Pictures\,Positive\,5833,sunny beach,.jpg,Resources\Pictures\Positive\5833.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1.0,1.0,0.0,7.989999771118164,7.989999771118164,0.0,4.0,4.0,0.0,58.880001068115234,58.880001068115234,0.0,20.0
Resources\Pictures\,Positive\,1340,women and parrots,.jpg,Resources\Pictures\Positive\1340.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,10.0,10.0,0.0,6.255000114440918,6.255000114440918,0.0,7.0,7.0,0.0,2.2780001163482666,2.2780001163482666,0.0,21.0
Resources\Pictures\,Positive\,7325,girl and watermelon,.jpg,Resources\Pictures\Positive\7325.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,5.743000030517578,5.743000030517578,0.0,7.0,7.0,0.0,7.0920000076293945,7.0920000076293945,0.0,22.0
Resources\Pictures\,Positive\,7502,disney land,.jpg,Resources\Pictures\Positive\7502.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,9.15999984741211,9.15999984741211,0.0,2.0,2.0,0.0,11.809000015258789,11.809000015258789,0.0,23.0
Resources\Pictures\,Positive\,8330,women and trophy,.jpg,Resources\Pictures\Positive\8330.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,5.9730000495910645,5.9730000495910645,0.0,6.0,6.0,0.0,5.560999870300293,5.560999870300293,0.0,24.0
Resources\Pictures\,Positive\,8380,team medals,.jpg,Resources\Pictures\Positive\8380.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,10.0,10.0,0.0,8.95300006866455,8.95300006866455,0.0,7.0,7.0,0.0,4.39300012588501,4.39300012588501,0.0,25.0
Resources\Pictures\,Positive\,8497,family on rollercoaster,.jpg,Resources\Pictures\Positive\8497.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,10.0,10.0,0.0,4.460999965667725,4.460999965667725,0.0,7.0,7.0,0.0,1.5770000219345093,1.5770000219345093,0.0,26.0
Resources\Pictures\,Positive\,1601,man feeding giraffe,.jpg,Resources\Pictures\Positive\1601.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,7.627999782562256,7.627999782562256,0.0,5.0,5.0,0.0,20.20599937438965,20.20599937438965,0.0,27.0
Resources\Pictures\,Positive\,2005,smiling man,.jpg,Resources\Pictures\Positive\2005.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,15.84000015258789,15.84000015258789,0.0,5.0,5.0,0.0,5.626999855041504,5.626999855041504,0.0,28.0
Resources\Pictures\,Positive\,2010,smiling man 2,.jpg,Resources\Pictures\Positive\2010.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,14.541000366210938,14.541000366210938,0.0,4.0,4.0,0.0,26.732999801635742,26.732999801635742,0.0,29.0
