start_session_one,start_baseline_measurement,end_baseline_measurement,rating_baseline.response,rating_baseline.rt,end_session_one,participant,session,date,expName,psychopyVersion,frameRate,
2019-10-05_10:20:33,2019-10-05_10:21:57,2019-10-05_10:26:57,2,39.538,,ka,001,2019_Oct_05_1020,StartingSession,3.2.3,60.02999098823472,
,,,,,2019-10-05_10:27:40,,,,,,,
