n_path,n_weight,n_name,n_description,n_type,n_pictures,n_pic_width,n_pic_height,n_new_width,n_new_height,n_new_size,n,rating_emotion_n_eval_o.response_mean,rating_emotion_n_eval_o.response_raw,rating_emotion_n_eval_o.response_std,rating_emotion_n_eval_o.rt_mean,rating_emotion_n_eval_o.rt_raw,rating_emotion_n_eval_o.rt_std,rating_emotion_n_eval_t.response_mean,rating_emotion_n_eval_t.response_raw,rating_emotion_n_eval_t.response_std,rating_emotion_n_eval_t.rt_mean,rating_emotion_n_eval_t.rt_raw,rating_emotion_n_eval_t.rt_std,text_emotion_n_eval_t.started_mean,text_emotion_n_eval_t.started_raw,text_emotion_n_eval_t.started_std,text_emotion_n_eval_t.stopped_raw,order
Resources\Pictures\,Negative\,8179.0,bungee jump,.jpg,Resources\Pictures\Negative\8179.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,4.000999927520752,4.000999927520752,0.0,5.0,5.0,0.0,3.6689999103546143,3.6689999103546143,0.0,1915.7705078125,1915.7705078125,0.0,,17.0
Resources\Pictures\,Negative\,9280.0,pollution,.jpg,Resources\Pictures\Negative\9280.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,5.882999897003174,5.882999897003174,0.0,3.0,3.0,0.0,2.0350000858306885,2.0350000858306885,0.0,1926.433349609375,1926.433349609375,0.0,,18.0
Resources\Pictures\,Negative\,9341.0,child in garbage river,.jpg,Resources\Pictures\Negative\9341.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,4.499000072479248,4.499000072479248,0.0,2.0,2.0,0.0,3.9159998893737793,3.9159998893737793,0.0,1934.103271484375,1934.103271484375,0.0,,19.0
Resources\Pictures\,Negative\,9584.0,dentist,.jpg,Resources\Pictures\Negative\9584.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,5.802000045776367,5.802000045776367,0.0,4.0,4.0,0.0,1.8539999723434448,1.8539999723434448,0.0,1944.9459228515625,1944.9459228515625,0.0,,20.0
Resources\Pictures\,Negative\,9592.0,syringe,.jpg,Resources\Pictures\Negative\9592.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,5.2170000076293945,5.2170000076293945,0.0,4.0,4.0,0.0,2.638000011444092,2.638000011444092,0.0,1953.142578125,1953.142578125,0.0,,21.0
Resources\Pictures\,Negative\,1201.0,spider on shoulder,.jpg,Resources\Pictures\Negative\1201.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2.0,2.0,0.0,5.199999809265137,5.199999809265137,0.0,4.0,4.0,0.0,4.035999774932861,4.035999774932861,0.0,1962.10888671875,1962.10888671875,0.0,,22.0
Resources\Pictures\,Negative\,1726.0,roaring tiger,.jpg,Resources\Pictures\Negative\1726.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,6.636000156402588,6.636000156402588,0.0,5.0,5.0,0.0,18.64900016784668,18.64900016784668,0.0,1973.891357421875,1973.891357421875,0.0,,23.0
Resources\Pictures\,Negative\,1931.0,shark,.jpg,Resources\Pictures\Negative\1931.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,10.666999816894531,10.666999816894531,0.0,4.0,4.0,0.0,1.184000015258789,1.184000015258789,0.0,2004.318115234375,2004.318115234375,0.0,,24.0
Resources\Pictures\,Negative\,2100.0,angry man,.jpg,Resources\Pictures\Negative\2100.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,12.321000099182129,12.321000099182129,0.0,5.0,5.0,0.0,3.240000009536743,3.240000009536743,0.0,2018.9259033203125,2018.9259033203125,0.0,,25.0
Resources\Pictures\,Negative\,2110.0, angry man 2,.jpg,Resources\Pictures\Negative\2110.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,9.0,9.0,0.0,5.785999774932861,5.785999774932861,0.0,6.0,6.0,0.0,4.186999797821045,4.186999797821045,0.0,2029.074462890625,2029.074462890625,0.0,,26.0
Resources\Pictures\,Negative\,2692.0,bomb,.jpg,Resources\Pictures\Negative\2692.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,26.31599998474121,26.31599998474121,0.0,4.0,4.0,0.0,6.918000221252441,6.918000221252441,0.0,2060.6875,2060.6875,0.0,,27.0
Resources\Pictures\,Negative\,6000.0,prison  ,.jpg,Resources\Pictures\Negative\6000.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,7.214000225067139,7.214000225067139,0.0,3.0,3.0,0.0,7.484000205993652,7.484000205993652,0.0,2075.9501953125,2075.9501953125,0.0,,28.0
Resources\Pictures\,Negative\,9560.0,bird in oil,.jpg,Resources\Pictures\Negative\9560.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,9.0,9.0,0.0,11.451000213623047,11.451000213623047,0.0,1.0,1.0,0.0,3.9839999675750732,3.9839999675750732,0.0,2095.99560546875,2095.99560546875,0.0,,29.0

extraInfo
participant,mf
session,003
date,2019_Oct_05_1504
expName,EmotionSession
psychopyVersion,3.2.3
frameRate,59.93525792982294
