start_session_one,start_baseline_measurement,end_baseline_measurement,rating_baseline.response,rating_baseline.rt,end_session_one,participant,session,date,expName,psychopyVersion,frameRate,
2019-09-27_16:06:18,2019-09-27_16:07:13,2019-09-27_16:12:13,1,17.193,,ap,001,2019_Sep_27_1606,StartingSession,3.2.3,60.615354974809435,
,,,,,2019-09-27_16:12:33,,,,,,,
