path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,n,image_emotion_evaluation_pos.started_mean,image_emotion_evaluation_pos.started_raw,image_emotion_evaluation_pos.started_std,image_emotion_evaluation_pos.stopped_raw,rating_emotion_evaluation_pos.response_mean,rating_emotion_evaluation_pos.response_raw,rating_emotion_evaluation_pos.response_std,rating_emotion_evaluation_pos.rt_mean,rating_emotion_evaluation_pos.rt_raw,rating_emotion_evaluation_pos.rt_std,rating_emotion_evaluation_pos.started_mean,rating_emotion_evaluation_pos.started_raw,rating_emotion_evaluation_pos.started_std,rating_emotion_evaluation_pos.stopped_raw,order
resources\pictures\,Positive\,2391.0,boy and grandpa fishing,.jpg,resources\pictures\Positive\2391.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1926.8555908203125,1926.8555908203125,0.0,,3.0,3.0,0.0,1.0950000286102295,1.0950000286102295,0.0,0.017763100564479828,0.017763100564479828,0.0,,10.0
resources\pictures\,Positive\,2550.0,happy elderly couple,.jpg,resources\pictures\Positive\2550.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1957.74658203125,1957.74658203125,0.0,,3.0,3.0,0.0,0.8799999952316284,0.8799999952316284,0.0,0.041215699166059494,0.041215699166059494,0.0,,31.0
resources\pictures\,Positive\,2655.0,boy and dog,.jpg,resources\pictures\Positive\2655.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1924.634521484375,1924.634521484375,0.0,,3.0,3.0,0.0,1.0750000476837158,1.0750000476837158,0.0,0.01843539997935295,0.01843539997935295,0.0,,8.0
resources\pictures\,Positive\,4626.0,marriage scene,.jpg,resources\pictures\Positive\4626.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1946.0736083984375,1946.0736083984375,0.0,,3.0,3.0,0.0,1.0399999618530273,1.0399999618530273,0.0,0.01795320026576519,0.01795320026576519,0.0,,22.0
resources\pictures\,Positive\,5760.0,flowers,.jpg,resources\pictures\Positive\5760.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1910.904052734375,1910.904052734375,0.0,,3.0,3.0,0.0,3.88100004196167,3.88100004196167,0.0,0.03978290036320686,0.03978290036320686,0.0,,0.0
resources\pictures\,Positive\,5780.0,lakeview,.jpg,resources\pictures\Positive\5780.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1955.12939453125,1955.12939453125,0.0,,3.0,3.0,0.0,1.440000057220459,1.440000057220459,0.0,0.018936799839138985,0.018936799839138985,0.0,,29.0
resources\pictures\,Positive\,5831.0,father and son beach,.jpg,resources\pictures\Positive\5831.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1938.8564453125,1938.8564453125,0.0,,3.0,3.0,0.0,1.0920000076293945,1.0920000076293945,0.0,0.018700899556279182,0.018700899556279182,0.0,,17.0
resources\pictures\,Positive\,5833.0,sunny beach,.jpg,resources\pictures\Positive\5833.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1922.4073486328125,1922.4073486328125,0.0,,3.0,3.0,0.0,1.0850000381469727,1.0850000381469727,0.0,0.01894110068678856,0.01894110068678856,0.0,,6.0
resources\pictures\,Positive\,5891.0,clouds 1,.jpg,resources\pictures\Positive\5891.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1969.9822998046875,1969.9822998046875,0.0,,3.0,3.0,0.0,1.034000039100647,1.034000039100647,0.0,0.017925400286912918,0.017925400286912918,0.0,,41.0
resources\pictures\,Positive\,1340.0,women and parrots,.jpg,resources\pictures\Positive\1340.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1943.659423828125,1943.659423828125,0.0,,3.0,3.0,0.0,1.2100000381469727,1.2100000381469727,0.0,0.01871360093355179,0.01871360093355179,0.0,,20.0
