path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,n,image_emotion_evaluation_neg.started_mean,image_emotion_evaluation_neg.started_raw,image_emotion_evaluation_neg.started_std,image_emotion_evaluation_neg.stopped_raw,rating_emotion_evaluation_neg.response_mean,rating_emotion_evaluation_neg.response_raw,rating_emotion_evaluation_neg.response_std,rating_emotion_evaluation_neg.rt_mean,rating_emotion_evaluation_neg.rt_raw,rating_emotion_evaluation_neg.rt_std,rating_emotion_evaluation_neg.started_mean,rating_emotion_evaluation_neg.started_raw,rating_emotion_evaluation_neg.started_std,rating_emotion_evaluation_neg.stopped_raw,order
resources\pictures\,Negative\,7590.0,traffic jam,.jpg,resources\pictures\Negative\7590.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2759.524658203125,2759.524658203125,0.0,,2.0,2.0,0.0,1.2580000162124634,1.2580000162124634,0.0,0.017212100327014923,0.017212100327014923,0.0,,31.0
resources\pictures\,Negative\,7640.0,risky work place,.jpg,resources\pictures\Negative\7640.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2718.5634765625,2718.5634765625,0.0,,2.0,2.0,0.0,1.0069999694824219,1.0069999694824219,0.0,0.018580500036478043,0.018580500036478043,0.0,,2.0
resources\pictures\,Negative\,8179.0,bungee jump,.jpg,resources\pictures\Negative\8179.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2724.66552734375,2724.66552734375,0.0,,2.0,2.0,0.0,1.0520000457763672,1.0520000457763672,0.0,0.018667299300432205,0.018667299300432205,0.0,,7.0
resources\pictures\,Negative\,8185.0,skydiving,.jpg,resources\pictures\Negative\8185.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2735.384521484375,2735.384521484375,0.0,,2.0,2.0,0.0,1.097000002861023,1.097000002861023,0.0,0.017996300011873245,0.017996300011873245,0.0,,16.0
resources\pictures\,Negative\,8400.0,rafting,.jpg,resources\pictures\Negative\8400.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2727.896484375,2727.896484375,0.0,,2.0,2.0,0.0,1.0770000219345093,1.0770000219345093,0.0,0.019668100401759148,0.019668100401759148,0.0,,10.0
resources\pictures\,Negative\,9280.0,pollution,.jpg,resources\pictures\Negative\9280.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2723.551513671875,2723.551513671875,0.0,,2.0,2.0,0.0,1.0850000381469727,1.0850000381469727,0.0,0.018632300198078156,0.018632300198078156,0.0,,6.0
resources\pictures\,Negative\,9341.0,child in garbage river,.jpg,resources\pictures\Negative\9341.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2725.746337890625,2725.746337890625,0.0,,2.0,2.0,0.0,1.0720000267028809,1.0720000267028809,0.0,0.020146600902080536,0.020146600902080536,0.0,,8.0
resources\pictures\,Negative\,9417.0,getting a ticket,.jpg,resources\pictures\Negative\9417.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2749.428466796875,2749.428466796875,0.0,,2.0,2.0,0.0,1.36899995803833,1.36899995803833,0.0,0.017897600308060646,0.017897600308060646,0.0,,25.0
resources\pictures\,Negative\,9584.0,dentist,.jpg,resources\pictures\Negative\9584.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2740.366455078125,2740.366455078125,0.0,,1.0,1.0,0.0,1.628000020980835,1.628000020980835,0.0,0.01774970069527626,0.01774970069527626,0.0,,20.0
resources\pictures\,Negative\,9592.0,syringe,.jpg,resources\pictures\Negative\9592.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2762.2763671875,2762.2763671875,0.0,,2.0,2.0,0.0,1.4620000123977661,1.4620000123977661,0.0,0.01730700023472309,0.01730700023472309,0.0,,33.0
