path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,n,image_emotion_meas_pos.started_mean,image_emotion_meas_pos.started_raw,image_emotion_meas_pos.started_std,image_emotion_meas_pos.stopped_raw,order
resources\pictures\,Positive\,2332.0,girl and dog,.jpg,resources\pictures\Positive\2332.jpg,800,600,2.1999999999999997,1,"(2.2, 1)",1.0,1680.70263671875,1680.70263671875,0.0,,19.0
resources\pictures\,Positive\,2339.0,football group,.jpg,resources\pictures\Positive\2339.jpg,800,600,2.1999999999999997,1,"(2.2, 1)",1.0,1850.732421875,1850.732421875,0.0,1850.7324169000203,36.0
resources\pictures\,Positive\,2341.0,children ,.jpg,resources\pictures\Positive\2341.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1610.68505859375,1610.68505859375,0.0,,12.0
resources\pictures\,Positive\,2391.0,boy and grandpa fishing,.jpg,resources\pictures\Positive\2391.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1800.714111328125,1800.714111328125,0.0,,31.0
resources\pictures\,Positive\,2550.0,happy elderly couple,.jpg,resources\pictures\Positive\2550.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1620.68798828125,1620.68798828125,0.0,1620.6879324000038,13.0
resources\pictures\,Positive\,2655.0,boy and dog,.jpg,resources\pictures\Positive\2655.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1900.736083984375,1900.736083984375,0.0,,41.0
resources\pictures\,Positive\,4626.0,marriage scene,.jpg,resources\pictures\Positive\4626.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1630.6868896484375,1630.6868896484375,0.0,1630.686924300011,14.0
resources\pictures\,Positive\,5760.0,flowers,.jpg,resources\pictures\Positive\5760.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1710.700927734375,1710.700927734375,0.0,1710.7009551000083,22.0
resources\pictures\,Positive\,5780.0,lakeview,.jpg,resources\pictures\Positive\5780.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1570.6944580078125,1570.6944580078125,0.0,1570.6944317000161,8.0
resources\pictures\,Positive\,5831.0,father and son beach,.jpg,resources\pictures\Positive\5831.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1580.680908203125,1580.680908203125,0.0,,9.0
resources\pictures\,Positive\,5833.0,sunny beach,.jpg,resources\pictures\Positive\5833.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1760.7099609375,1760.7099609375,0.0,1760.709935299994,27.0
resources\pictures\,Positive\,5891.0,clouds 1,.jpg,resources\pictures\Positive\5891.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1660.68798828125,1660.68798828125,0.0,1660.6879961999948,17.0
resources\pictures\,Positive\,1340.0,women and parrots,.jpg,resources\pictures\Positive\1340.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1590.68994140625,1590.68994140625,0.0,1590.6899486000184,10.0
resources\pictures\,Positive\,5982.0,clouds 2,.jpg,resources\pictures\Positive\5982.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1560.68603515625,1560.68603515625,0.0,,7.0
resources\pictures\,Positive\,7325.0,girl and watermelon,.jpg,resources\pictures\Positive\7325.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1870.73095703125,1870.73095703125,0.0,,38.0
resources\pictures\,Positive\,7502.0,disney land,.jpg,resources\pictures\Positive\7502.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1550.67724609375,1550.67724609375,0.0,,6.0
