start_session_one,start_baseline_measurement,end_baseline_measurement,rating_baseline.response,rating_baseline.rt,end_session_one,participant,session,date,expName,psychopyVersion,frameRate,
2019-10-05_16:36:00,2019-10-05_16:37:51,2019-10-05_16:42:51,1,34.818,,rs,001,2019_Oct_05_1635,StartingSession,3.2.3,59.890890767110655,
,,,,,2019-10-05_16:43:31,,,,,,,
