Tick	Color	Tone	TimeDur	WordItem	WordColor	AnsLeft	AnsRight	AnsCorr	tick.thisRepN	tick.thisTrialN	tick.thisN	tick.thisIndex	stroop_trials.thisRepN	stroop_trials.thisTrialN	stroop_trials.thisN	stroop_trials.thisIndex	start_session_two	start_stress_one	end_stress_one	rating_evaluation_one.response	rating_evaluation_one.rt	rating_evaluation_two.response	rating_evaluation_two.rt	start_stress_two	key_resp_part_two_meas.keys	key_resp_part_two_meas.rt	key_resp_part_two_meas.started	key_resp_part_two_meas.stopped	end_stress_two	start_cooldown_measurement	end_cooldown_measurement	end_session_two	participant	session	date	expName	psychopyVersion	frameRate
57	green	440	1						0	56	56	56																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
58	green	440	1						0	57	57	57																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
59	green	440	1						0	58	58	58																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
60	green	440	1						0	59	59	59																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
61	green	440	1						0	60	60	60																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
62	green	440	1						0	61	61	61																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
63	green	440	1						0	62	62	62																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
64	green	440	1						0	63	63	63																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
65	green	440	1						0	64	64	64																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
66	green	440	1						0	65	65	65																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
67	green	440	1						0	66	66	66																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
68	green	440	1						0	67	67	67																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
69	green	440	1						0	68	68	68																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
70	green	440	1						0	69	69	69																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
71	green	440	1						0	70	70	70																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
72	green	440	1						0	71	71	71																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
73	green	440	1						0	72	72	72																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
74	green	440	1						0	73	73	73																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
75	green	440	1						0	74	74	74																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
76	green	440	1						0	75	75	75																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
77	green	440	1						0	76	76	76																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
78	green	440	1						0	77	77	77																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
79	green	440	1						0	78	78	78																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
80	green	440	1						0	79	79	79																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
81	green	440	1						0	80	80	80																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
82	green	440	1						0	81	81	81																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
83	green	440	1						0	82	82	82																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
84	green	440	1						0	83	83	83																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
85	green	440	1						0	84	84	84																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
86	green	440	1						0	85	85	85																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
87	green	440	1						0	86	86	86																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
88	green	440	1						0	87	87	87																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
89	green	440	1						0	88	88	88																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
90	green	440	1						0	89	89	89																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
91	green	440	1						0	90	90	90																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
92	green	440	1						0	91	91	91																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
93	green	440	1						0	92	92	92																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
