WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,n,key_resp_part_two_meas.keys_raw,key_resp_part_two_meas.rt_mean,key_resp_part_two_meas.rt_raw,key_resp_part_two_meas.rt_std,key_resp_part_two_meas.started_mean,key_resp_part_two_meas.started_raw,key_resp_part_two_meas.started_std,key_resp_part_two_meas.stopped_raw,order
red,blue,red,blue,right,1.0,'right',0.7561497688293457,0.7561497688293457,0.0,734.2199096679688,734.2199096679688,0.0,,63.0
red,green,red,green,right,1.0,'right',1.5573325157165527,1.5573325157165527,0.0,797.58642578125,797.58642578125,0.0,,102.0
red,magenta,red,magenta,right,1.0,'right',0.9619882702827454,0.9619882702827454,0.0,644.6456298828125,644.6456298828125,0.0,,10.0
red,cyan,red,cyan,right,1.0,'right',1.099016547203064,1.099016547203064,0.0,937.2528076171875,937.2528076171875,0.0,,181.0
red,yellow,red,yellow,right,1.0,'right',0.801479697227478,0.801479697227478,0.0,728.1100463867188,728.1100463867188,0.0,,59.0
red,orange,red,orange,right,1.0,'right',1.2274619340896606,1.2274619340896606,0.0,647.668701171875,647.668701171875,0.0,,12.0
red,purple,red,purple,right,1.0,'right',1.001205325126648,1.001205325126648,0.0,674.6869506835938,674.6869506835938,0.0,,27.0
red,brown,red,brown,right,1.0,'right',1.8914103507995605,1.8914103507995605,0.0,788.892333984375,788.892333984375,0.0,,98.0
red,white,red,white,right,1.0,'right',1.0060057640075684,1.0060057640075684,0.0,960.6339721679688,960.6339721679688,0.0,,195.0
red,black,red,black,right,1.0,'right',0.6688247323036194,0.6688247323036194,0.0,760.7151489257812,760.7151489257812,0.0,,80.0
blue,green,blue,green,right,1.0,'right',1.8978351354599,1.8978351354599,0.0,791.3262329101562,791.3262329101562,0.0,,99.0
blue,magenta,blue,magenta,right,1.0,'right',0.7715469002723694,0.7715469002723694,0.0,981.7560424804688,981.7560424804688,0.0,,209.0
blue,cyan,blue,cyan,right,1.0,'right',2.0441112518310547,2.0441112518310547,0.0,899.5797729492188,899.5797729492188,0.0,,159.0
blue,yellow,blue,yellow,right,1.0,'right',0.912368655204773,0.912368655204773,0.0,977.0076904296875,977.0076904296875,0.0,,206.0
blue,orange,blue,orange,right,1.0,'right',0.9283686280250549,0.9283686280250549,0.0,887.3834228515625,887.3834228515625,0.0,,151.0
blue,purple,blue,purple,right,1.0,'right',1.034220814704895,1.034220814704895,0.0,914.6455078125,914.6455078125,0.0,,168.0
blue,brown,blue,brown,right,1.0,'right',1.1073672771453857,1.1073672771453857,0.0,775.15625,775.15625,0.0,,90.0
blue,white,blue,white,right,1.0,'right',1.158516526222229,1.158516526222229,0.0,687.3450317382812,687.3450317382812,0.0,,34.0
blue,black,blue,black,right,1.0,'right',0.803583562374115,0.803583562374115,0.0,872.4925537109375,872.4925537109375,0.0,,142.0
blue,red,blue,red,right,1.0,'right',0.7556198239326477,0.7556198239326477,0.0,843.5159301757812,843.5159301757812,0.0,,126.0
green,magenta,green,magenta,right,1.0,'right',1.44512939453125,1.44512939453125,0.0,882.7864379882812,882.7864379882812,0.0,,149.0
green,cyan,green,cyan,right,1.0,'right',0.9575240612030029,0.9575240612030029,0.0,898.090087890625,898.090087890625,0.0,,158.0
green,yellow,green,yellow,right,1.0,'right',1.390716552734375,1.390716552734375,0.0,682.016845703125,682.016845703125,0.0,,31.0
green,orange,green,orange,right,1.0,'right',1.2377190589904785,1.2377190589904785,0.0,838.5061645507812,838.5061645507812,0.0,,123.0
green,purple,green,purple,right,1.0,'right',0.8953574299812317,0.8953574299812317,0.0,959.2005615234375,959.2005615234375,0.0,,194.0
green,brown,green,brown,right,1.0,'right',0.93220055103302,0.93220055103302,0.0,726.6515502929688,726.6515502929688,0.0,,58.0
green,white,green,white,right,1.0,'right',0.9345096349716187,0.9345096349716187,0.0,876.625244140625,876.625244140625,0.0,,145.0
green,black,green,black,right,1.0,'right',0.794030487537384,0.794030487537384,0.0,725.3339233398438,725.3339233398438,0.0,,57.0
green,red,green,red,right,1.0,'right',1.5886937379837036,1.5886937379837036,0.0,860.4190673828125,860.4190673828125,0.0,,135.0
green,blue,green,blue,right,1.0,'right',1.1012228727340698,1.1012228727340698,0.0,938.8906860351562,938.8906860351562,0.0,,182.0
magenta,cyan,magenta,cyan,right,1.0,'right',1.1475533246994019,1.1475533246994019,0.0,655.4765014648438,655.4765014648438,0.0,,16.0
magenta,yellow,magenta,yellow,right,1.0,'right',1.3156074285507202,1.3156074285507202,0.0,870.6443481445312,870.6443481445312,0.0,,141.0
magenta,orange,magenta,orange,right,1.0,'left',0.9728614687919617,0.9728614687919617,0.0,770.4671630859375,770.4671630859375,0.0,,87.0
magenta,purple,magenta,purple,right,1.0,'right',1.5477807521820068,1.5477807521820068,0.0,917.8118286132812,917.8118286132812,0.0,,170.0
magenta,brown,magenta,brown,right,1.0,'right',1.9815185070037842,1.9815185070037842,0.0,850.4182739257812,850.4182739257812,0.0,,130.0
magenta,white,magenta,white,right,1.0,'right',1.1624008417129517,1.1624008417129517,0.0,641.493408203125,641.493408203125,0.0,,8.0
magenta,black,magenta,black,right,1.0,'right',0.794338583946228,0.794338583946228,0.0,773.82958984375,773.82958984375,0.0,,89.0
magenta,red,magenta,red,right,1.0,'right',1.0763741731643677,1.0763741731643677,0.0,916.2114868164062,916.2114868164062,0.0,,169.0
magenta,blue,magenta,blue,right,1.0,'right',1.3478015661239624,1.3478015661239624,0.0,771.9644775390625,771.9644775390625,0.0,,88.0
