start_session_one,start_baseline_measurement,end_baseline_measurement,rating_baseline.response,rating_baseline.rt,end_session_one,participant,session,date,expName,psychopyVersion,frameRate,
2019-09-25_13:11:20,2019-09-25_13:15:25,2019-09-25_13:20:25,2,20.547,,mch,001,2019_Sep_25_1311,StartingSession,3.1.3,60.06612078555009,
,,,,,2019-09-25_13:20:49,,,,,,,
