p_path,p_weight,p_name,p_description,p_type,p_pictures,p_pic_width,p_pic_height,p_new_width,p_new_height,p_new_size,n_path,n_weight,n_name,n_description,n_type,n_pictures,n_pic_width,n_pic_height,n_new_width,n_new_height,n_new_size,emotion_trials_p.thisRepN,emotion_trials_p.thisTrialN,emotion_trials_p.thisN,emotion_trials_p.thisIndex,emotion_evaluation_p.thisRepN,emotion_evaluation_p.thisTrialN,emotion_evaluation_p.thisN,emotion_evaluation_p.thisIndex,emotion_trials_n.thisRepN,emotion_trials_n.thisTrialN,emotion_trials_n.thisN,emotion_trials_n.thisIndex,emotion_evaluation_n.thisRepN,emotion_evaluation_n.thisTrialN,emotion_evaluation_n.thisN,emotion_evaluation_n.thisIndex,start_session_three,start_emotion_one,image_emotion_p.started,image_emotion_p.stopped,end_emotion_one,rating_emotion_p_eval_o.response,rating_emotion_p_eval_o.rt,rating_emotion_p_eval_t.response,rating_emotion_p_eval_t.rt,key_resp_cooldown_instructions.keys,key_resp_cooldown_instructions.rt,start_cooldown_measurement,end_cooldown_measurement,rating_cooldown_evaluation.response,rating_cooldown_evaluation.rt,start_emotion_two,image_emotion_n.started,image_emotion_n.stopped,end_emotion_two,rating_emotion_n_eval_o.response,rating_emotion_n_eval_o.rt,text_emotion_n_eval_t.started,text_emotion_n_eval_t.stopped,rating_emotion_n_eval_t.response,rating_emotion_n_eval_t.rt,end_session_three,participant,session,date,expName,psychopyVersion,frameRate,
Resources\Pictures\,Positive\,4626,marriage scene,.jpg,Resources\Pictures\Positive\4626.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,14,14,17,,,,,,,,,,,,,,,270.15757646610064,None,,,,,,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,8330,women and trophy,.jpg,Resources\Pictures\Positive\8330.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,15,15,24,,,,,,,,,,,,,,,280.1463504442236,None,,,,,,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,2070,baby suprise,.jpg,Resources\Pictures\Positive\2070.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,16,16,9,,,,,,,,,,,,,,,290.1371314614903,None,,,,,,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,2005,smiling man,.jpg,Resources\Pictures\Positive\2005.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,17,17,28,,,,,,,,,,,,,,,300.1244982935473,None,,,,,,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,2071,baby smiling,.jpg,Resources\Pictures\Positive\2071.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,18,18,31,,,,,,,,,,,,,,,310.11817722957767,None,,,,,,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,5831,father and son beach,.jpg,Resources\Pictures\Positive\5831.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,320.1202350420331,None,,,,,,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,8497,family on rollercoaster,.jpg,Resources\Pictures\Positive\8497.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,20,20,26,,,,,,,,,,,,,,,330.1042674755122,None,,,,,,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,5760,flowers,.jpg,Resources\Pictures\Positive\5760.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,21,21,18,,,,,,,,,,,,,,,340.11070459276607,None,,,,,,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,8380,team medals,.jpg,Resources\Pictures\Positive\8380.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,22,22,25,,,,,,,,,,,,,,,350.0969539852995,None,,,,,,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,2010,smiling man 2,.jpg,Resources\Pictures\Positive\2010.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,23,23,29,,,,,,,,,,,,,,,360.0784272732044,None,,,,,,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,2332,girl and dog,.jpg,Resources\Pictures\Positive\2332.jpg,800,600,2.1999999999999997,1,"(2.2, 1)",,,,,,,,,,,,0,24,24,14,,,,,,,,,,,,,,,370.0626717599266,None,,,,,,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,7325,girl and watermelon,.jpg,Resources\Pictures\Positive\7325.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,25,25,22,,,,,,,,,,,,,,,380.0669234914458,None,,,,,,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,2311,mother daughter,.jpg,Resources\Pictures\Positive\2311.jpg,1024,768,1.7999999999999998,1,"(1.8, 1)",,,,,,,,,,,,0,26,26,13,,,,,,,,,,,,,,,390.0618290936195,None,,,,,,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,2655,boy and dog,.jpg,Resources\Pictures\Positive\2655.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,27,27,16,,,,,,,,,,,,,,,400.05188477786214,None,,,,,,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
