Tick	Color	Tone	TimeDur	WordItem	WordColor	AnsLeft	AnsRight	AnsCorr	tick.thisRepN	tick.thisTrialN	tick.thisN	tick.thisIndex	stroop_trials.thisRepN	stroop_trials.thisTrialN	stroop_trials.thisN	stroop_trials.thisIndex	start_session_two	start_stress_one	end_stress_one	rating_evaluation_one.response	rating_evaluation_one.rt	rating_evaluation_two.response	rating_evaluation_two.rt	start_stress_two	key_resp_part_two_meas.keys	key_resp_part_two_meas.rt	key_resp_part_two_meas.started	key_resp_part_two_meas.stopped	end_stress_two	start_cooldown_measurement	end_cooldown_measurement	end_session_two	participant	session	date	expName	psychopyVersion	frameRate
48	green	440	1.0						0	47	47	47																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
49	green	440	1.0						0	48	48	48																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
50	green	440	1.0						0	49	49	49																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
51	green	440	1.0						0	50	50	50																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
52	green	440	1.0						0	51	51	51																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
53	green	440	1.0						0	52	52	52																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
54	green	440	1.0						0	53	53	53																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
55	green	440	1.0						0	54	54	54																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
56	green	440	1.0						0	55	55	55																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
57	green	440	1.0						0	56	56	56																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
58	green	440	1.0						0	57	57	57																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
59	green	440	1.0						0	58	58	58																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
60	green	440	1.0						0	59	59	59																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
61	green	440	1.0						0	60	60	60																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
62	green	440	1.0						0	61	61	61																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
63	green	440	1.0						0	62	62	62																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
64	green	440	1.0						0	63	63	63																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
65	green	440	1.0						0	64	64	64																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
66	green	440	1.0						0	65	65	65																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
67	green	440	1.0						0	66	66	66																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
68	green	440	1.0						0	67	67	67																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
69	green	440	1.0						0	68	68	68																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
70	green	440	1.0						0	69	69	69																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
71	green	440	1.0						0	70	70	70																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
72	green	440	1.0						0	71	71	71																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
73	green	440	1.0						0	72	72	72																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
74	green	440	1.0						0	73	73	73																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
75	green	440	1.0						0	74	74	74																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
76	green	440	1.0						0	75	75	75																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
77	green	440	1.0						0	76	76	76																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
78	green	440	1.0						0	77	77	77																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
79	green	440	1.0						0	78	78	78																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
80	green	440	1.0						0	79	79	79																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
81	green	440	1.0						0	80	80	80																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
82	green	440	1.0						0	81	81	81																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
83	green	440	1.0						0	82	82	82																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
84	green	440	1.0						0	83	83	83																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
85	green	440	1.0						0	84	84	84																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
86	green	440	1.0						0	85	85	85																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
87	green	440	1.0						0	86	86	86																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
88	green	440	1.0						0	87	87	87																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
89	green	440	1.0						0	88	88	88																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
90	green	440	1.0						0	89	89	89																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
91	green	440	1.0						0	90	90	90																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
92	green	440	1.0						0	91	91	91																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
93	green	440	1.0						0	92	92	92																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
94	green	440	1.0						0	93	93	93																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
95	green	440	1.0						0	94	94	94																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
96	green	440	1.0						0	95	95	95																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
97	green	440	1.0						0	96	96	96																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
98	green	440	1.0						0	97	97	97																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
99	green	440	1.0						0	98	98	98																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
100	green	440	1.0						0	99	99	99																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
101	green	440	1.0						0	100	100	100																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
