WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,n,key_resp_part_two_meas.keys_raw,key_resp_part_two_meas.rt_mean,key_resp_part_two_meas.rt_raw,key_resp_part_two_meas.rt_std,key_resp_part_two_meas.started_mean,key_resp_part_two_meas.started_raw,key_resp_part_two_meas.started_std,key_resp_part_two_meas.stopped_raw,order
red,blue,red,blue,right,1.0,'right',0.9068766236305237,0.9068766236305237,0.0,813.6246948242188,813.6246948242188,0.0,,97.0
red,green,red,green,right,1.0,'right',0.6901577711105347,0.6901577711105347,0.0,701.59326171875,701.59326171875,0.0,,18.0
red,magenta,red,magenta,right,1.0,'right',0.8015510439872742,0.8015510439872742,0.0,846.2258911132812,846.2258911132812,0.0,,121.0
red,cyan,red,cyan,right,1.0,'right',0.7919151782989502,0.7919151782989502,0.0,851.45947265625,851.45947265625,0.0,,125.0
red,yellow,red,yellow,right,1.0,'right',0.8090130090713501,0.8090130090713501,0.0,804.6506958007812,804.6506958007812,0.0,,90.0
red,orange,red,orange,right,1.0,'right',0.6756715774536133,0.6756715774536133,0.0,924.5519409179688,924.5519409179688,0.0,,181.0
red,purple,red,purple,right,1.0,'right',0.7069419622421265,0.7069419622421265,0.0,700.352783203125,700.352783203125,0.0,,17.0
red,brown,red,brown,right,1.0,'right',1.290685772895813,1.290685772895813,0.0,707.1452026367188,707.1452026367188,0.0,,22.0
red,white,red,white,right,1.0,'right',0.9557790160179138,0.9557790160179138,0.0,767.6640014648438,767.6640014648438,0.0,,65.0
red,black,red,black,right,1.0,'left',1.099232792854309,1.099232792854309,0.0,760.3527221679688,760.3527221679688,0.0,,60.0
blue,green,blue,green,right,1.0,'right',0.6902346014976501,0.6902346014976501,0.0,969.0332641601562,969.0332641601562,0.0,,214.0
blue,magenta,blue,magenta,right,1.0,'right',0.9294831156730652,0.9294831156730652,0.0,725.1539916992188,725.1539916992188,0.0,,35.0
blue,cyan,blue,cyan,right,1.0,'right',0.7153733372688293,0.7153733372688293,0.0,863.1525268554688,863.1525268554688,0.0,,134.0
blue,yellow,blue,yellow,right,1.0,'right',0.7761417627334595,0.7761417627334595,0.0,974.2672119140625,974.2672119140625,0.0,,218.0
blue,orange,blue,orange,right,1.0,'right',0.7287390828132629,0.7287390828132629,0.0,942.5231323242188,942.5231323242188,0.0,,194.0
blue,purple,blue,purple,right,1.0,'right',0.6731235384941101,0.6731235384941101,0.0,891.4822998046875,891.4822998046875,0.0,,155.0
blue,brown,blue,brown,right,1.0,'right',0.9161011576652527,0.9161011576652527,0.0,787.7913208007812,787.7913208007812,0.0,,78.0
blue,white,blue,white,right,1.0,'right',0.6733787059783936,0.6733787059783936,0.0,865.8101806640625,865.8101806640625,0.0,,136.0
blue,black,blue,black,right,1.0,'right',0.776116132736206,0.776116132736206,0.0,823.4192504882812,823.4192504882812,0.0,,104.0
blue,red,blue,red,right,1.0,'right',0.9354926943778992,0.9354926943778992,0.0,869.8125,869.8125,0.0,,139.0
green,magenta,green,magenta,right,1.0,'right',0.7583292722702026,0.7583292722702026,0.0,820.6532592773438,820.6532592773438,0.0,,102.0
green,cyan,green,cyan,right,1.0,'right',0.825870156288147,0.825870156288147,0.0,828.6495971679688,828.6495971679688,0.0,,108.0
green,yellow,green,yellow,right,1.0,'right',0.6529571413993835,0.6529571413993835,0.0,918.1105346679688,918.1105346679688,0.0,,176.0
green,orange,green,orange,right,1.0,'right',0.7759885787963867,0.7759885787963867,0.0,904.323974609375,904.323974609375,0.0,,165.0
green,purple,green,purple,right,1.0,'right',0.9143377542495728,0.9143377542495728,0.0,710.26513671875,710.26513671875,0.0,,24.0
green,brown,green,brown,right,1.0,'right',0.8362270593643188,0.8362270593643188,0.0,771.8556518554688,771.8556518554688,0.0,,68.0
green,white,green,white,right,1.0,'right',0.7088509202003479,0.7088509202003479,0.0,692.7669677734375,692.7669677734375,0.0,,12.0
green,black,green,black,right,1.0,'right',0.6936086416244507,0.6936086416244507,0.0,729.3822631835938,729.3822631835938,0.0,,38.0
green,red,green,red,right,1.0,'right',1.1917827129364014,1.1917827129364014,0.0,761.9877319335938,761.9877319335938,0.0,,61.0
green,blue,green,blue,right,1.0,'right',0.8026701807975769,0.8026701807975769,0.0,726.6173095703125,726.6173095703125,0.0,,36.0
magenta,cyan,magenta,cyan,right,1.0,'right',0.9234445095062256,0.9234445095062256,0.0,821.9598999023438,821.9598999023438,0.0,,103.0
magenta,yellow,magenta,yellow,right,1.0,'right',0.7431817650794983,0.7431817650794983,0.0,962.6445922851562,962.6445922851562,0.0,,209.0
magenta,orange,magenta,orange,right,1.0,'right',0.8925935626029968,0.8925935626029968,0.0,920.6471557617188,920.6471557617188,0.0,,178.0
magenta,purple,magenta,purple,right,1.0,'right',2.5048410892486572,2.5048410892486572,0.0,757.3151245117188,757.3151245117188,0.0,,59.0
magenta,brown,magenta,brown,right,1.0,'right',0.7927203178405762,0.7927203178405762,0.0,901.795166015625,901.795166015625,0.0,,163.0
magenta,white,magenta,white,right,1.0,'right',0.7230648398399353,0.7230648398399353,0.0,806.0089111328125,806.0089111328125,0.0,,91.0
magenta,black,magenta,black,right,1.0,'right',0.6951971650123596,0.6951971650123596,0.0,792.0841674804688,792.0841674804688,0.0,,81.0
magenta,red,magenta,red,right,1.0,'right',0.7547636032104492,0.7547636032104492,0.0,831.400634765625,831.400634765625,0.0,,110.0
magenta,blue,magenta,blue,right,1.0,'right',1.213270902633667,1.213270902633667,0.0,774.9985961914062,774.9985961914062,0.0,,70.0
magenta,green,magenta,green,right,1.0,'right',0.8709700703620911,0.8709700703620911,0.0,718.332763671875,718.332763671875,0.0,,30.0
cyan,yellow,cyan,yellow,right,1.0,'right',0.7099819779396057,0.7099819779396057,0.0,935.0538330078125,935.0538330078125,0.0,,189.0
cyan,orange,cyan,orange,right,1.0,'right',0.8574763536453247,0.8574763536453247,0.0,887.4261474609375,887.4261474609375,0.0,,152.0
cyan,purple,cyan,purple,right,1.0,'right',0.78447026014328,0.78447026014328,0.0,852.7794799804688,852.7794799804688,0.0,,126.0
cyan,brown,cyan,brown,right,1.0,'right',0.8581884503364563,0.8581884503364563,0.0,694.00927734375,694.00927734375,0.0,,13.0
cyan,white,cyan,white,right,1.0,'right',0.7599164843559265,0.7599164843559265,0.0,883.5958862304688,883.5958862304688,0.0,,149.0
cyan,black,cyan,black,right,1.0,'right',0.7072811722755432,0.7072811722755432,0.0,690.296142578125,690.296142578125,0.0,,10.0
cyan,red,cyan,red,right,1.0,'right',0.7415233254432678,0.7415233254432678,0.0,947.5263671875,947.5263671875,0.0,,198.0
cyan,blue,cyan,blue,right,1.0,'right',0.7465315461158752,0.7465315461158752,0.0,682.6414794921875,682.6414794921875,0.0,,5.0
cyan,green,cyan,green,right,1.0,'right',0.8229560256004333,0.8229560256004333,0.0,875.4766235351562,875.4766235351562,0.0,,143.0
cyan,magenta,cyan,magenta,right,1.0,'right',1.0147942304611206,1.0147942304611206,0.0,819.108642578125,819.108642578125,0.0,,101.0
yellow,orange,yellow,orange,right,1.0,'left',0.7920875549316406,0.7920875549316406,0.0,812.2998046875,812.2998046875,0.0,,96.0
yellow,purple,yellow,purple,right,1.0,'right',0.7312504649162292,0.7312504649162292,0.0,965.24072265625,965.24072265625,0.0,,211.0
yellow,brown,yellow,brown,right,1.0,'right',0.7070789337158203,0.7070789337158203,0.0,809.7685546875,809.7685546875,0.0,,94.0
yellow,white,yellow,white,right,1.0,'right',0.7802838087081909,0.7802838087081909,0.0,715.8394165039062,715.8394165039062,0.0,,28.0
yellow,black,yellow,black,right,1.0,'right',0.6338186264038086,0.6338186264038086,0.0,912.0501098632812,912.0501098632812,0.0,,171.0
yellow,red,yellow,red,right,1.0,'right',0.7468993067741394,0.7468993067741394,0.0,723.8646240234375,723.8646240234375,0.0,,34.0
yellow,blue,yellow,blue,right,1.0,'right',0.6779884099960327,0.6779884099960327,0.0,915.5978393554688,915.5978393554688,0.0,,174.0
yellow,green,yellow,green,right,1.0,'right',0.7440342307090759,0.7440342307090759,0.0,834.3477783203125,834.3477783203125,0.0,,112.0
yellow,magenta,yellow,magenta,right,1.0,'right',1.1242039203643799,1.1242039203643799,0.0,782.7432861328125,782.7432861328125,0.0,,75.0
yellow,cyan,yellow,cyan,right,1.0,'right',1.1631231307983398,1.1631231307983398,0.0,747.7683715820312,747.7683715820312,0.0,,52.0
orange,purple,orange,purple,right,1.0,'right',0.9079778790473938,0.9079778790473938,0.0,798.8956298828125,798.8956298828125,0.0,,86.0
orange,brown,orange,brown,right,1.0,'right',1.3044265508651733,1.3044265508651733,0.0,957.7789306640625,957.7789306640625,0.0,,206.0
orange,white,orange,white,right,1.0,'right',0.7626151442527771,0.7626151442527771,0.0,790.7767944335938,790.7767944335938,0.0,,80.0
orange,black,orange,black,right,1.0,'right',0.7089106440544128,0.7089106440544128,0.0,769.1506958007812,769.1506958007812,0.0,,66.0
orange,red,orange,red,right,1.0,'right',0.8831624984741211,0.8831624984741211,0.0,781.3202514648438,781.3202514648438,0.0,,74.0
orange,blue,orange,blue,right,1.0,'right',0.661835253238678,0.661835253238678,0.0,807.2695922851562,807.2695922851562,0.0,,92.0
orange,green,orange,green,right,1.0,'right',0.7379465699195862,0.7379465699195862,0.0,811.0174560546875,811.0174560546875,0.0,,95.0
orange,magenta,orange,magenta,right,1.0,'right',0.8051798343658447,0.8051798343658447,0.0,970.270263671875,970.270263671875,0.0,,215.0
orange,cyan,orange,cyan,right,1.0,'right',0.7230964303016663,0.7230964303016663,0.0,908.1043701171875,908.1043701171875,0.0,,168.0
orange,yellow,orange,yellow,right,1.0,'right',1.0031214952468872,1.0031214952468872,0.0,871.2886352539062,871.2886352539062,0.0,,140.0
purple,brown,purple,brown,right,1.0,'right',0.9320691227912903,0.9320691227912903,0.0,770.3997802734375,770.3997802734375,0.0,,67.0
purple,white,purple,white,right,1.0,'right',0.6461591124534607,0.6461591124534607,0.0,826.1738891601562,826.1738891601562,0.0,,106.0
purple,black,purple,black,right,1.0,'right',0.7308643460273743,0.7308643460273743,0.0,754.7449340820312,754.7449340820312,0.0,,57.0
purple,red,purple,red,right,1.0,'right',0.7961191534996033,0.7961191534996033,0.0,752.0635986328125,752.0635986328125,0.0,,55.0
purple,blue,purple,blue,right,1.0,'right',0.717679500579834,0.717679500579834,0.0,738.5261840820312,738.5261840820312,0.0,,45.0
purple,green,purple,green,right,1.0,'right',0.6993110775947571,0.6993110775947571,0.0,952.8005981445312,952.8005981445312,0.0,,202.0
purple,magenta,purple,magenta,right,1.0,'right',0.7987542152404785,0.7987542152404785,0.0,906.7730712890625,906.7730712890625,0.0,,167.0
purple,cyan,purple,cyan,right,1.0,'right',0.7555610537528992,0.7555610537528992,0.0,956.4797973632812,956.4797973632812,0.0,,205.0
purple,yellow,purple,yellow,right,1.0,'right',0.9293444752693176,0.9293444752693176,0.0,681.17822265625,681.17822265625,0.0,,4.0
purple,orange,purple,orange,right,1.0,'right',0.8189623951911926,0.8189623951911926,0.0,842.2086181640625,842.2086181640625,0.0,,118.0
brown,white,brown,white,right,1.0,'right',0.9257007241249084,0.9257007241249084,0.0,815.0619506835938,815.0619506835938,0.0,,98.0
brown,black,brown,black,right,1.0,'right',0.6406802535057068,0.6406802535057068,0.0,925.7706909179688,925.7706909179688,0.0,,182.0
brown,red,brown,red,right,1.0,'right',1.4781233072280884,1.4781233072280884,0.0,696.7577514648438,696.7577514648438,0.0,,15.0
brown,blue,brown,blue,right,1.0,'right',0.8164348602294922,0.8164348602294922,0.0,896.4434204101562,896.4434204101562,0.0,,159.0
