p_path,p_weight,p_name,p_description,p_type,p_pictures,p_pic_width,p_pic_height,p_new_width,p_new_height,p_new_size,n,rating_emotion_p_eval_o.response_mean,rating_emotion_p_eval_o.response_raw,rating_emotion_p_eval_o.response_std,rating_emotion_p_eval_o.rt_mean,rating_emotion_p_eval_o.rt_raw,rating_emotion_p_eval_o.rt_std,rating_emotion_p_eval_t.response_mean,rating_emotion_p_eval_t.response_raw,rating_emotion_p_eval_t.response_std,rating_emotion_p_eval_t.rt_mean,rating_emotion_p_eval_t.rt_raw,rating_emotion_p_eval_t.rt_std,order
Resources\Pictures\,Positive\,5833,sunny beach,.jpg,Resources\Pictures\Positive\5833.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,10.381999969482422,10.381999969482422,0.0,3.0,3.0,0.0,4.171999931335449,4.171999931335449,0.0,20.0
Resources\Pictures\,Positive\,1340,women and parrots,.jpg,Resources\Pictures\Positive\1340.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,5.254000186920166,5.254000186920166,0.0,3.0,3.0,0.0,14.404000282287598,14.404000282287598,0.0,21.0
Resources\Pictures\,Positive\,7325,girl and watermelon,.jpg,Resources\Pictures\Positive\7325.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,5.002999782562256,5.002999782562256,0.0,5.0,5.0,0.0,5.1020002365112305,5.1020002365112305,0.0,22.0
Resources\Pictures\,Positive\,7502,disney land,.jpg,Resources\Pictures\Positive\7502.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,9.168000221252441,9.168000221252441,0.0,3.0,3.0,0.0,2.0850000381469727,2.0850000381469727,0.0,23.0
Resources\Pictures\,Positive\,8330,women and trophy,.jpg,Resources\Pictures\Positive\8330.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,17.417999267578125,17.417999267578125,0.0,4.0,4.0,0.0,2.4679999351501465,2.4679999351501465,0.0,24.0
Resources\Pictures\,Positive\,8380,team medals,.jpg,Resources\Pictures\Positive\8380.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,3.234999895095825,3.234999895095825,0.0,4.0,4.0,0.0,0.8519999980926514,0.8519999980926514,0.0,25.0
Resources\Pictures\,Positive\,8497,family on rollercoaster,.jpg,Resources\Pictures\Positive\8497.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,2.005000114440918,2.005000114440918,0.0,4.0,4.0,0.0,0.8550000190734863,0.8550000190734863,0.0,26.0
Resources\Pictures\,Positive\,1601,man feeding giraffe,.jpg,Resources\Pictures\Positive\1601.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,10.253000259399414,10.253000259399414,0.0,5.0,5.0,0.0,2.6040000915527344,2.6040000915527344,0.0,27.0
Resources\Pictures\,Positive\,2005,smiling man,.jpg,Resources\Pictures\Positive\2005.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,2.319000005722046,2.319000005722046,0.0,4.0,4.0,0.0,1.2569999694824219,1.2569999694824219,0.0,28.0
Resources\Pictures\,Positive\,2010,smiling man 2,.jpg,Resources\Pictures\Positive\2010.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,5.686999797821045,5.686999797821045,0.0,3.0,3.0,0.0,14.819999694824219,14.819999694824219,0.0,29.0
