p_path,p_weight,p_name,p_description,p_type,p_pictures,p_pic_width,p_pic_height,p_new_width,p_new_height,p_new_size,n_path,n_weight,n_name,n_description,n_type,n_pictures,n_pic_width,n_pic_height,n_new_width,n_new_height,n_new_size,emotion_trials_p.thisRepN,emotion_trials_p.thisTrialN,emotion_trials_p.thisN,emotion_trials_p.thisIndex,emotion_evaluation_p.thisRepN,emotion_evaluation_p.thisTrialN,emotion_evaluation_p.thisN,emotion_evaluation_p.thisIndex,emotion_trials_n.thisRepN,emotion_trials_n.thisTrialN,emotion_trials_n.thisN,emotion_trials_n.thisIndex,emotion_evaluation_n.thisRepN,emotion_evaluation_n.thisTrialN,emotion_evaluation_n.thisN,emotion_evaluation_n.thisIndex,start_session_three,start_emotion_one,image_emotion_p.started,image_emotion_p.stopped,end_emotion_one,rating_emotion_p_eval_o.response,rating_emotion_p_eval_o.rt,rating_emotion_p_eval_t.response,rating_emotion_p_eval_t.rt,key_resp_cooldown_instructions.keys,key_resp_cooldown_instructions.rt,start_cooldown_measurement,end_cooldown_measurement,rating_cooldown_evaluation.response,rating_cooldown_evaluation.rt,start_emotion_two,image_emotion_n.started,image_emotion_n.stopped,end_emotion_two,rating_emotion_n_eval_o.response,rating_emotion_n_eval_o.rt,text_emotion_n_eval_t.started,text_emotion_n_eval_t.stopped,rating_emotion_n_eval_t.response,rating_emotion_n_eval_t.rt,end_session_three,participant,session,date,expName,psychopyVersion,frameRate,
Resources\Pictures\,Positive\,2071,baby smiling,.jpg,Resources\Pictures\Positive\2071.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,14,14,31,,,,,,,,,,,,,,,292.604962500016,None,,,,,,,,,,,,,,,,,,,,,,,fw,003,2019_Sep_23_1822,EmotionSession,3.2.3,60.00751294194122,
Resources\Pictures\,Positive\,8497,family on rollercoaster,.jpg,Resources\Pictures\Positive\8497.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,15,15,26,,,,,,,,,,,,,,,302.60929700001725,None,,,,,,,,,,,,,,,,,,,,,,,fw,003,2019_Sep_23_1822,EmotionSession,3.2.3,60.00751294194122,
Resources\Pictures\,Positive\,2058,baby holding hand,.jpg,Resources\Pictures\Positive\2058.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,16,16,30,,,,,,,,,,,,,,,312.58370270000887,None,,,,,,,,,,,,,,,,,,,,,,,fw,003,2019_Sep_23_1822,EmotionSession,3.2.3,60.00751294194122,
Resources\Pictures\,Positive\,4626,marriage scene,.jpg,Resources\Pictures\Positive\4626.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,322.6067572000029,None,,,,,,,,,,,,,,,,,,,,,,,fw,003,2019_Sep_23_1822,EmotionSession,3.2.3,60.00751294194122,
Resources\Pictures\,Positive\,1601,man feeding giraffe,.jpg,Resources\Pictures\Positive\1601.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,18,18,27,,,,,,,,,,,,,,,332.6034155000234,None,,,,,,,,,,,,,,,,,,,,,,,fw,003,2019_Sep_23_1822,EmotionSession,3.2.3,60.00751294194122,
Resources\Pictures\,Positive\,2057,sitting baby,.jpg,Resources\Pictures\Positive\2057.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,19,19,8,,,,,,,,,,,,,,,342.5869933000067,None,,,,,,,,,,,,,,,,,,,,,,,fw,003,2019_Sep_23_1822,EmotionSession,3.2.3,60.00751294194122,
Resources\Pictures\,Positive\,1463,group of cats,.jpg,Resources\Pictures\Positive\1463.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,20,20,2,,,,,,,,,,,,,,,352.62570850001066,None,,,,,,,,,,,,,,,,,,,,,,,fw,003,2019_Sep_23_1822,EmotionSession,3.2.3,60.00751294194122,
Resources\Pictures\,Positive\,7325,girl and watermelon,.jpg,Resources\Pictures\Positive\7325.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,21,21,22,,,,,,,,,,,,,,,362.59567270000116,None,,,,,,,,,,,,,,,,,,,,,,,fw,003,2019_Sep_23_1822,EmotionSession,3.2.3,60.00751294194122,
Resources\Pictures\,Positive\,2655,boy and dog,.jpg,Resources\Pictures\Positive\2655.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,22,22,16,,,,,,,,,,,,,,,372.5961376000196,None,,,,,,,,,,,,,,,,,,,,,,,fw,003,2019_Sep_23_1822,EmotionSession,3.2.3,60.00751294194122,
Resources\Pictures\,Positive\,7502,disney land,.jpg,Resources\Pictures\Positive\7502.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,382.61314300002414,None,,,,,,,,,,,,,,,,,,,,,,,fw,003,2019_Sep_23_1822,EmotionSession,3.2.3,60.00751294194122,
