p_path	p_weight	p_name	p_description	p_type	p_pictures	p_pic_width	p_pic_height	p_new_width	p_new_height	p_new_size	n_path	n_weight	n_name	n_description	n_type	n_pictures	n_pic_width	n_pic_height	n_new_width	n_new_height	n_new_size	emotion_trials_p.thisRepN	emotion_trials_p.thisTrialN	emotion_trials_p.thisN	emotion_trials_p.thisIndex	emotion_evaluation_p.thisRepN	emotion_evaluation_p.thisTrialN	emotion_evaluation_p.thisN	emotion_evaluation_p.thisIndex	emotion_trials_n.thisRepN	emotion_trials_n.thisTrialN	emotion_trials_n.thisN	emotion_trials_n.thisIndex	emotion_evaluation_n.thisRepN	emotion_evaluation_n.thisTrialN	emotion_evaluation_n.thisN	emotion_evaluation_n.thisIndex	start_session_three	start_emotion_one	image_emotion_p.started	image_emotion_p.stopped	end_emotion_one	rating_emotion_p_eval_o.response	rating_emotion_p_eval_o.rt	rating_emotion_p_eval_t.response	rating_emotion_p_eval_t.rt	key_resp_cooldown_instructions.keys	key_resp_cooldown_instructions.rt	start_cooldown_measurement	end_cooldown_measurement	rating_cooldown_evaluation.response	rating_cooldown_evaluation.rt	start_emotion_two	image_emotion_n.started	image_emotion_n.stopped	end_emotion_two	rating_emotion_n_eval_o.response	rating_emotion_n_eval_o.rt	text_emotion_n_eval_t.started	text_emotion_n_eval_t.stopped	rating_emotion_n_eval_t.response	rating_emotion_n_eval_t.rt	end_session_three	participant	session	date	expName	psychopyVersion	frameRate
Resources\Pictures\	Positive\	2057	sitting baby	.jpg	Resources\Pictures\Positive\2057.jpg	1024	768	1.9	1	(1.9, 1)												0	19	19	8															342.5869933	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	1463	group of cats	.jpg	Resources\Pictures\Positive\1463.jpg	1024	768	1.9	1	(1.9, 1)												0	20	20	2															352.6257085	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	7325	girl and watermelon	.jpg	Resources\Pictures\Positive\7325.jpg	1024	768	1.9	1	(1.9, 1)												0	21	21	22															362.5956727	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2655	boy and dog	.jpg	Resources\Pictures\Positive\2655.jpg	1024	768	1.9	1	(1.9, 1)												0	22	22	16															372.5961376	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	7502	disney land	.jpg	Resources\Pictures\Positive\7502.jpg	1024	768	1.9	1	(1.9, 1)												0	23	23	23															382.613143	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	1942	group of turtles	.jpg	Resources\Pictures\Positive\1942.jpg	1024	768	1.9	1	(1.9, 1)												0	24	24	6															392.6138464	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2550	happy elderly couple	.jpg	Resources\Pictures\Positive\2550.jpg	1024	768	1.9	1	(1.9, 1)												0	25	25	15															402.6082952	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2154	father and son	.jpg	Resources\Pictures\Positive\2154.jpg	1024	768	1.9	1	(1.9, 1)												0	26	26	11															412.5905639	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	5831	father and son beach	.jpg	Resources\Pictures\Positive\5831.jpg	1024	768	1.9	1	(1.9, 1)												0	27	27	19															422.6234554	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	1811	group of apes	.jpg	Resources\Pictures\Positive\1811.jpg	1024	768	1.9	1	(1.9, 1)												0	28	28	5															432.6116358	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	8330	women and trophy	.jpg	Resources\Pictures\Positive\8330.jpg	1024	768	1.9	1	(1.9, 1)												0	29	29	24															442.5969032	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	1750	rabit	.jpg	Resources\Pictures\Positive\1750.jpg	1024	768	1.9	1	(1.9, 1)												0	30	30	4															452.6095404	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2010	smiling man 2	.jpg	Resources\Pictures\Positive\2010.jpg	1024	768	1.9	1	(1.9, 1)												0	31	31	29															462.5978786	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	1440	seal	.jpg	Resources\Pictures\Positive\1440.jpg	1024	768	1.9	1	(1.9, 1)																0	0	0	0													2019-09-23_18:29:50	5	202.098	4	13.905																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	1460	tiger cub	.jpg	Resources\Pictures\Positive\1460.jpg	1024	768	1.9	1	(1.9, 1)																0	1	1	1														6	15.273	6	5.022																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	1463	group of cats	.jpg	Resources\Pictures\Positive\1463.jpg	1024	768	1.9	1	(1.9, 1)																0	2	2	2														7	9.302	6	3.42																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	1710	three dogs	.jpg	Resources\Pictures\Positive\1710.jpg	1024	768	1.9	1	(1.9, 1)																0	3	3	3														6	7.301	4	3.091																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	1750	rabit	.jpg	Resources\Pictures\Positive\1750.jpg	1024	768	1.9	1	(1.9, 1)																0	4	4	4														6	8.89	4	2.837																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	1811	group of apes	.jpg	Resources\Pictures\Positive\1811.jpg	1024	768	1.9	1	(1.9, 1)																0	5	5	5														3	9.02	3	39.714																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	1942	group of turtles	.jpg	Resources\Pictures\Positive\1942.jpg	1024	768	1.9	1	(1.9, 1)																0	6	6	6														7	13.466	6	6.588																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2040	baby on belly	.jpg	Resources\Pictures\Positive\2040.jpg	1024	768	1.9	1	(1.9, 1)																0	7	7	7														2	19.636	4	21.985																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2057	sitting baby	.jpg	Resources\Pictures\Positive\2057.jpg	1024	768	1.9	1	(1.9, 1)																0	8	8	8														4	19.454	4	5.891																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2070	baby suprise	.jpg	Resources\Pictures\Positive\2070.jpg	1024	768	1.9	1	(1.9, 1)																0	9	9	9														5	15.667	4	1.906																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2091	children and kitten	.jpg	Resources\Pictures\Positive\2091.jpg	1024	768	1.9	1	(1.9, 1)																0	10	10	10														6	4.758	5	2.623																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2154	father and son	.jpg	Resources\Pictures\Positive\2154.jpg	1024	768	1.9	1	(1.9, 1)																0	11	11	11														5	7.335	4	7.407																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2304	smiling girl	.jpg	Resources\Pictures\Positive\2304.jpg	1024	768	1.8	1	(1.8, 1)																0	12	12	12														6	6.276	5	2.09																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2311	mother daughter	.jpg	Resources\Pictures\Positive\2311.jpg	1024	768	1.8	1	(1.8, 1)																0	13	13	13														7	5.071	5	2.261																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2332	girl and dog	.jpg	Resources\Pictures\Positive\2332.jpg	800	600	2.2	1	(2.2, 1)																0	14	14	14														7	4.047	5	2.248																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2550	happy elderly couple	.jpg	Resources\Pictures\Positive\2550.jpg	1024	768	1.9	1	(1.9, 1)																0	15	15	15														6	4.406	5	4.722																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2655	boy and dog	.jpg	Resources\Pictures\Positive\2655.jpg	1024	768	1.9	1	(1.9, 1)																0	16	16	16														6	7.436	5	1.956																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	4626	marriage scene	.jpg	Resources\Pictures\Positive\4626.jpg	1024	768	1.9	1	(1.9, 1)																0	17	17	17														7	11.124	5	1.991																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	5760	flowers	.jpg	Resources\Pictures\Positive\5760.jpg	1024	768	1.9	1	(1.9, 1)																0	18	18	18														8	5.803	6	2.187																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	5831	father and son beach	.jpg	Resources\Pictures\Positive\5831.jpg	1024	768	1.9	1	(1.9, 1)																0	19	19	19														5	4.052	4	4.17																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	5833	sunny beach	.jpg	Resources\Pictures\Positive\5833.jpg	1024	768	1.9	1	(1.9, 1)																0	20	20	20														6	13.304	5	3.42																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	1340	women and parrots	.jpg	Resources\Pictures\Positive\1340.jpg	1024	768	1.9	1	(1.9, 1)																0	21	21	21														9	5.57	7	5.771																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	7325	girl and watermelon	.jpg	Resources\Pictures\Positive\7325.jpg	1024	768	1.9	1	(1.9, 1)																0	22	22	22														8	4.289	6	3.57																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	7502	disney land	.jpg	Resources\Pictures\Positive\7502.jpg	1024	768	1.9	1	(1.9, 1)																0	23	23	23														2	6.072	2	7.285																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	8330	women and trophy	.jpg	Resources\Pictures\Positive\8330.jpg	1024	768	1.9	1	(1.9, 1)																0	24	24	24														6	20.201	5	2.34																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	8380	team medals	.jpg	Resources\Pictures\Positive\8380.jpg	1024	768	1.9	1	(1.9, 1)																0	25	25	25														5	6.655	4	3.239																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	8497	family on rollercoaster	.jpg	Resources\Pictures\Positive\8497.jpg	1024	768	1.9	1	(1.9, 1)																0	26	26	26														5	2.871	4	2.922																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	1601	man feeding giraffe	.jpg	Resources\Pictures\Positive\1601.jpg	1024	768	1.9	1	(1.9, 1)																0	27	27	27														7	3.956	5	2.307																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2005	smiling man	.jpg	Resources\Pictures\Positive\2005.jpg	1024	768	1.9	1	(1.9, 1)																0	28	28	28														4	5.358	4	3.909																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2010	smiling man 2	.jpg	Resources\Pictures\Positive\2010.jpg	1024	768	1.9	1	(1.9, 1)																0	29	29	29														6	4.887	5	2.006																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2058	baby holding hand	.jpg	Resources\Pictures\Positive\2058.jpg	1024	768	1.9	1	(1.9, 1)																0	30	30	30														4	7.272	4	2.538																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2071	baby smiling	.jpg	Resources\Pictures\Positive\2071.jpg	1024	768	1.9	1	(1.9, 1)																0	31	31	31														5	12.651	4	1.722																		fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
																																															space	9.7211756																fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
																																																	2019-09-23_18:41:43	2019-09-23_18:46:43	3	34.486												fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
											Resources\Pictures\	Negative\	9280	pollution	.jpg	Resources\Pictures\Negative\9280.jpg	1024	768	1.9	1	(1.9, 1)									0	0	0	18																				2019-09-23_18:50:15	1698.418415	None									fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
											Resources\Pictures\	Negative\	6000	prison  	.jpg	Resources\Pictures\Negative\6000.jpg	1024	768	1.9	1	(1.9, 1)									0	1	1	28																					1708.394931	None									fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
											Resources\Pictures\	Negative\	1300	dog threat 1	.jpg	Resources\Pictures\Negative\1300.jpg	1024	768	1.9	1	(1.9, 1)									0	2	2	2																					1718.387567	None									fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
