p_path,p_weight,p_name,p_description,p_type,p_pictures,p_pic_width,p_pic_height,p_new_width,p_new_height,p_new_size,n,rating_emotion_p_eval_o.response_mean,rating_emotion_p_eval_o.response_raw,rating_emotion_p_eval_o.response_std,rating_emotion_p_eval_o.rt_mean,rating_emotion_p_eval_o.rt_raw,rating_emotion_p_eval_o.rt_std,rating_emotion_p_eval_t.response_mean,rating_emotion_p_eval_t.response_raw,rating_emotion_p_eval_t.response_std,rating_emotion_p_eval_t.rt_mean,rating_emotion_p_eval_t.rt_raw,rating_emotion_p_eval_t.rt_std,order
Resources\Pictures\,Positive\,5833,sunny beach,.jpg,Resources\Pictures\Positive\5833.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,7.39300012588501,7.39300012588501,0.0,5.0,5.0,0.0,3.7769999504089355,3.7769999504089355,0.0,20.0
Resources\Pictures\,Positive\,1340,women and parrots,.jpg,Resources\Pictures\Positive\1340.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,5.7769999504089355,5.7769999504089355,0.0,5.0,5.0,0.0,3.2130000591278076,3.2130000591278076,0.0,21.0
Resources\Pictures\,Positive\,7325,girl and watermelon,.jpg,Resources\Pictures\Positive\7325.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,9.590999603271484,9.590999603271484,0.0,4.0,4.0,0.0,3.8929998874664307,3.8929998874664307,0.0,22.0
Resources\Pictures\,Positive\,7502,disney land,.jpg,Resources\Pictures\Positive\7502.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,11.074000358581543,11.074000358581543,0.0,3.0,3.0,0.0,5.543000221252441,5.543000221252441,0.0,23.0
Resources\Pictures\,Positive\,8330,women and trophy,.jpg,Resources\Pictures\Positive\8330.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,6.0279998779296875,6.0279998779296875,0.0,4.0,4.0,0.0,2.430999994277954,2.430999994277954,0.0,24.0
Resources\Pictures\,Positive\,8380,team medals,.jpg,Resources\Pictures\Positive\8380.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,8.890000343322754,8.890000343322754,0.0,5.0,5.0,0.0,4.443999767303467,4.443999767303467,0.0,25.0
Resources\Pictures\,Positive\,8497,family on rollercoaster,.jpg,Resources\Pictures\Positive\8497.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,6.210000038146973,6.210000038146973,0.0,5.0,5.0,0.0,2.9809999465942383,2.9809999465942383,0.0,26.0
Resources\Pictures\,Positive\,1601,man feeding giraffe,.jpg,Resources\Pictures\Positive\1601.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,6.261000156402588,6.261000156402588,0.0,4.0,4.0,0.0,3.063999891281128,3.063999891281128,0.0,27.0
Resources\Pictures\,Positive\,2005,smiling man,.jpg,Resources\Pictures\Positive\2005.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,7.047999858856201,7.047999858856201,0.0,4.0,4.0,0.0,4.697999954223633,4.697999954223633,0.0,28.0
Resources\Pictures\,Positive\,2010,smiling man 2,.jpg,Resources\Pictures\Positive\2010.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,5.480000019073486,5.480000019073486,0.0,4.0,4.0,0.0,3.746999979019165,3.746999979019165,0.0,29.0
Resources\Pictures\,Positive\,2058,baby holding hand,.jpg,Resources\Pictures\Positive\2058.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,7.610000133514404,7.610000133514404,0.0,6.0,6.0,0.0,4.828999996185303,4.828999996185303,0.0,30.0
Resources\Pictures\,Positive\,2071,baby smiling,.jpg,Resources\Pictures\Positive\2071.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,8.0,8.0,0.0,7.079999923706055,7.079999923706055,0.0,7.0,7.0,0.0,4.6479997634887695,4.6479997634887695,0.0,31.0

extraInfo
participant,mb
session,003
date,2019_Sep_25_1017
expName,EmotionSession
psychopyVersion,3.1.3
frameRate,60.04396178714987
