start_session_one,start_baseline_measurement,end_baseline_measurement,rating_baseline.response,rating_baseline.rt,end_session_one,participant,session,date,expName,psychopyVersion,frameRate,
2019-09-05_12:08:16,2019-09-05_12:08:48,2019-09-05_12:13:48,1,13.271,,md,001,2019_Sep_05_1208,StartingSession,3.1.3,60.03729680157517,
,,,,,2019-09-05_12:14:05,,,,,,,
