path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,n,image_emotion_evaluation_pos.started_mean,image_emotion_evaluation_pos.started_raw,image_emotion_evaluation_pos.started_std,image_emotion_evaluation_pos.stopped_raw,image_emotion_meas_pos.started_mean,image_emotion_meas_pos.started_raw,image_emotion_meas_pos.started_std,image_emotion_meas_pos.stopped_raw,rating_emotion_evaluation_pos.response_mean,rating_emotion_evaluation_pos.response_raw,rating_emotion_evaluation_pos.response_std,rating_emotion_evaluation_pos.rt_mean,rating_emotion_evaluation_pos.rt_raw,rating_emotion_evaluation_pos.rt_std,order
resources\pictures\,Positive\,2091.0,children and kitten,.jpg,resources\pictures\Positive\2091.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,547.8588256835938,547.8588256835938,0.0,,537.8616333007812,537.8616333007812,0.0,,3.0,3.0,0.0,1.7130000591278076,1.7130000591278076,0.0,23.0
resources\pictures\,Positive\,2154.0,father and son,.jpg,resources\pictures\Positive\2154.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,313.80023193359375,313.80023193359375,0.0,,303.7958679199219,303.7958679199219,0.0,,3.0,3.0,0.0,2.7920000553131104,2.7920000553131104,0.0,4.0
resources\pictures\,Positive\,2304.0,smiling girl,.jpg,resources\pictures\Positive\2304.jpg,1024,768,1.7999999999999998,1,"(1.8, 1)",1.0,289.5505065917969,289.5505065917969,0.0,,279.5447692871094,279.5447692871094,0.0,,3.0,3.0,0.0,2.2290000915527344,2.2290000915527344,0.0,2.0
resources\pictures\,Positive\,2311.0,mother daughter,.jpg,resources\pictures\Positive\2311.jpg,1024,768,1.7999999999999998,1,"(1.8, 1)",1.0,690.7217407226562,690.7217407226562,0.0,,680.7233276367188,680.7233276367188,0.0,,3.0,3.0,0.0,9.079999923706055,9.079999923706055,0.0,32.0
resources\pictures\,Positive\,2332.0,girl and dog,.jpg,resources\pictures\Positive\2332.jpg,800,600,2.1999999999999997,1,"(2.2, 1)",1.0,584.076904296875,584.076904296875,0.0,,574.0833129882812,574.0833129882812,0.0,,3.0,3.0,0.0,24.32699966430664,24.32699966430664,0.0,26.0
resources\pictures\,Positive\,2339.0,football group,.jpg,resources\pictures\Positive\2339.jpg,800,600,2.1999999999999997,1,"(2.2, 1)",1.0,410.4597473144531,410.4597473144531,0.0,,400.4644470214844,400.4644470214844,0.0,,3.0,3.0,0.0,6.256999969482422,6.256999969482422,0.0,12.0
resources\pictures\,Positive\,2341.0,children and kitten,.jpg,resources\pictures\Positive\2341.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,631.4912719726562,631.4912719726562,0.0,,621.4908447265625,621.4908447265625,0.0,,3.0,3.0,0.0,2.8519999980926514,2.8519999980926514,0.0,28.0
resources\pictures\,Positive\,2391.0,boy and grandpa fishing,.jpg,resources\pictures\Positive\2391.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,524.6279907226562,524.6279907226562,0.0,,514.6323852539062,514.6323852539062,0.0,,3.0,3.0,0.0,1.694000005722046,1.694000005722046,0.0,21.0
resources\pictures\,Positive\,2550.0,happy elderly couple,.jpg,resources\pictures\Positive\2550.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,398.2575988769531,398.2575988769531,0.0,,388.26165771484375,388.26165771484375,0.0,,3.0,3.0,0.0,2.1470000743865967,2.1470000743865967,0.0,11.0
resources\pictures\,Positive\,2655.0,boy and dog,.jpg,resources\pictures\Positive\2655.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,670.654052734375,670.654052734375,0.0,,660.6554565429688,660.6554565429688,0.0,,3.0,3.0,0.0,10.003000259399414,10.003000259399414,0.0,31.0
resources\pictures\,Positive\,4626.0,marriage scene,.jpg,resources\pictures\Positive\4626.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,571.0663452148438,571.0663452148438,0.0,,561.0775146484375,561.0775146484375,0.0,,3.0,3.0,0.0,2.9639999866485596,2.9639999866485596,0.0,25.0
resources\pictures\,Positive\,5760.0,flowers,.jpg,resources\pictures\Positive\5760.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,451.0476379394531,451.0476379394531,0.0,,441.0545959472656,441.0545959472656,0.0,,3.0,3.0,0.0,4.711999893188477,4.711999893188477,0.0,15.0
resources\pictures\,Positive\,5780.0,lakeview,.jpg,resources\pictures\Positive\5780.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,618.4925537109375,618.4925537109375,0.0,,608.4771118164062,608.4771118164062,0.0,,3.0,3.0,0.0,2.936000108718872,2.936000108718872,0.0,27.0
resources\pictures\,Positive\,5831.0,father and son beach,.jpg,resources\pictures\Positive\5831.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,350.635498046875,350.635498046875,0.0,,340.6376647949219,340.6376647949219,0.0,,3.0,3.0,0.0,2.5409998893737793,2.5409998893737793,0.0,7.0
resources\pictures\,Positive\,5833.0,sunny beach,.jpg,resources\pictures\Positive\5833.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,386.5889587402344,386.5889587402344,0.0,,376.5928955078125,376.5928955078125,0.0,,3.0,3.0,0.0,1.6080000400543213,1.6080000400543213,0.0,10.0
resources\pictures\,Positive\,5891.0,clouds 1,.jpg,resources\pictures\Positive\5891.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,657.3043212890625,657.3043212890625,0.0,,647.3074951171875,647.3074951171875,0.0,,3.0,3.0,0.0,3.2890000343322754,3.2890000343322754,0.0,30.0
resources\pictures\,Positive\,5910.0,fireworks,.jpg,resources\pictures\Positive\5910.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,709.8675537109375,709.8675537109375,0.0,,699.8740844726562,699.8740844726562,0.0,,3.0,3.0,0.0,32.24700164794922,32.24700164794922,0.0,33.0
resources\pictures\,Positive\,5982.0,clouds 2,.jpg,resources\pictures\Positive\5982.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,375.1332702636719,375.1332702636719,0.0,,365.13128662109375,365.13128662109375,0.0,,3.0,3.0,0.0,1.3960000276565552,1.3960000276565552,0.0,9.0
resources\pictures\,Positive\,7325.0,girl and watermelon,.jpg,resources\pictures\Positive\7325.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,500.7118835449219,500.7118835449219,0.0,,490.7228088378906,490.7228088378906,0.0,,3.0,3.0,0.0,2.2960000038146973,2.2960000038146973,0.0,19.0
resources\pictures\,Positive\,7502.0,disney land,.jpg,resources\pictures\Positive\7502.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,489.1593933105469,489.1593933105469,0.0,,479.15423583984375,479.15423583984375,0.0,,3.0,3.0,0.0,1.496000051498413,1.496000051498413,0.0,18.0
resources\pictures\,Positive\,8330.0,women and trophy,.jpg,resources\pictures\Positive\8330.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,477.7346496582031,477.7346496582031,0.0,,467.7371826171875,467.7371826171875,0.0,,3.0,3.0,0.0,1.3569999933242798,1.3569999933242798,0.0,17.0
resources\pictures\,Positive\,8380.0,team medals,.jpg,resources\pictures\Positive\8380.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,536.387451171875,536.387451171875,0.0,,526.384765625,526.384765625,0.0,,3.0,3.0,0.0,1.4140000343322754,1.4140000343322754,0.0,22.0
resources\pictures\,Positive\,8470.0,gymnist success,.jpg,resources\pictures\Positive\8470.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,277.5856628417969,277.5856628417969,0.0,,267.59136962890625,267.59136962890625,0.0,,3.0,3.0,0.0,1.9010000228881836,1.9010000228881836,0.0,1.0
resources\pictures\,Positive\,8497.0,family on rollercoaster,.jpg,resources\pictures\Positive\8497.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,338.31671142578125,338.31671142578125,0.0,,328.3210144042969,328.3210144042969,0.0,,3.0,3.0,0.0,2.255000114440918,2.255000114440918,0.0,6.0
resources\pictures\,Positive\,8501.0,money,.jpg,resources\pictures\Positive\8501.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,363.239990234375,363.239990234375,0.0,,353.2478332519531,353.2478332519531,0.0,,3.0,3.0,0.0,1.8329999446868896,1.8329999446868896,0.0,8.0

extraInfo
participant,1
session,001
date,2019_Aug_20_1050
expName,MTEC_paradigm
psychopyVersion,3.1.5
frameRate,47.97384849316712
