Tick,Color,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,green,0,0,0,0,5.89983540000685,None,29.09241660000407,None,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
2,green,0,1,1,1,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
3,green,0,2,2,2,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
4,green,0,3,3,3,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
5,green,0,4,4,4,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
6,green,0,5,5,5,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
7,green,0,6,6,6,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
8,green,0,7,7,7,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
9,green,0,8,8,8,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
10,green,0,9,9,9,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
11,green,0,10,10,10,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
12,green,0,11,11,11,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
13,green,0,12,12,12,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
14,green,0,13,13,13,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
15,green,0,14,14,14,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
16,green,0,15,15,15,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
17,green,0,16,16,16,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
18,green,0,17,17,17,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
19,green,0,18,18,18,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
20,green,0,19,19,19,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
21,green,0,20,20,20,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
22,green,0,21,21,21,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
23,green,0,22,22,22,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
24,green,0,23,23,23,,,,,,001,2019_Aug_08_2001,MTEC_paradigm,3.1.3,147.73754718676338,
