Tick,Color,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,text_part_one_evaluation.started,text_part_one_evaluation.stopped,rating_part_one.response,rating_part_one.rt,participant,session,date,expName,psychopyVersion,frameRate,
52,green,0,50,50,50,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
53,green,0,51,51,51,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
54,green,0,52,52,52,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
55,green,0,53,53,53,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
56,green,0,54,54,54,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
57,green,0,55,55,55,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
58,green,0,56,56,56,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
59,green,0,57,57,57,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
60,green,0,58,58,58,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
61,green,0,59,59,59,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
62,green,0,60,60,60,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
63,green,0,61,61,61,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
64,green,0,62,62,62,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
65,green,0,63,63,63,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
66,green,0,64,64,64,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
67,green,0,65,65,65,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
68,green,0,66,66,66,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
69,green,0,67,67,67,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
70,green,0,68,68,68,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
71,green,0,69,69,69,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
72,green,0,70,70,70,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
73,green,0,71,71,71,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
74,green,0,72,72,72,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
75,green,0,73,73,73,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
76,green,0,74,74,74,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
77,green,0,75,75,75,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
78,green,0,76,76,76,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
79,green,0,77,77,77,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
80,green,0,78,78,78,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
81,green,0,79,79,79,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
82,green,0,80,80,80,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
83,green,0,81,81,81,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
84,green,0,82,82,82,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
85,green,0,83,83,83,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
86,green,0,84,84,84,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
87,green,0,85,85,85,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
88,green,0,86,86,86,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
89,green,0,87,87,87,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
90,green,0,88,88,88,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
91,green,0,89,89,89,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
92,green,0,90,90,90,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
93,green,0,91,91,91,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
94,green,0,92,92,92,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
95,green,0,93,93,93,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
96,green,0,94,94,94,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
97,green,0,95,95,95,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
98,green,0,96,96,96,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
99,green,0,97,97,97,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
