Tick,Color,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,green,0,0,0,0,12.552238000003854,None,36.2323092000006,None,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
2,green,0,1,1,1,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
3,green,0,2,2,2,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
4,green,0,3,3,3,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
5,green,0,4,4,4,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
6,green,0,5,5,5,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
7,green,0,6,6,6,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
8,green,0,7,7,7,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
9,green,0,8,8,8,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
10,green,0,9,9,9,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
11,green,0,10,10,10,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
12,green,0,11,11,11,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
13,green,0,12,12,12,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
14,green,0,13,13,13,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
15,green,0,14,14,14,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
16,green,0,15,15,15,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
17,green,0,16,16,16,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
18,green,0,17,17,17,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
19,green,0,18,18,18,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
20,green,0,19,19,19,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
21,green,0,20,20,20,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
22,green,0,21,21,21,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
23,green,0,22,22,22,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
24,green,0,23,23,23,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
25,green,0,24,24,24,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
26,green,0,25,25,25,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
27,green,0,26,26,26,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
28,green,0,27,27,27,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
29,green,0,28,28,28,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
30,green,0,29,29,29,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
31,green,0,30,30,30,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
32,green,0,31,31,31,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
33,green,0,32,32,32,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
34,green,0,33,33,33,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
35,green,0,34,34,34,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
36,green,0,35,35,35,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
37,green,0,36,36,36,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
38,green,0,37,37,37,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
39,green,0,38,38,38,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
40,green,0,39,39,39,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
41,green,0,40,40,40,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
42,green,0,41,41,41,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
43,green,0,42,42,42,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
44,green,0,43,43,43,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
45,green,0,44,44,44,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
46,green,0,45,45,45,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
47,green,0,46,46,46,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
48,green,0,47,47,47,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
49,green,0,48,48,48,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
50,green,0,49,49,49,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
51,green,0,50,50,50,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
52,green,0,51,51,51,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
53,green,0,52,52,52,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
54,green,0,53,53,53,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
55,green,0,54,54,54,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
56,green,0,55,55,55,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
57,green,0,56,56,56,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
58,green,0,57,57,57,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
59,green,0,58,58,58,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
60,green,0,59,59,59,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
61,green,0,60,60,60,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
62,green,0,61,61,61,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
63,green,0,62,62,62,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
64,green,0,63,63,63,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
65,green,0,64,64,64,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
66,green,0,65,65,65,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
67,green,0,66,66,66,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
68,green,0,67,67,67,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
69,green,0,68,68,68,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
70,green,0,69,69,69,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
71,green,0,70,70,70,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
72,green,0,71,71,71,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
73,green,0,72,72,72,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
74,green,0,73,73,73,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
75,green,0,74,74,74,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
76,green,0,75,75,75,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
77,green,0,76,76,76,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
78,green,0,77,77,77,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
79,green,0,78,78,78,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
80,green,0,79,79,79,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
81,green,0,80,80,80,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
82,green,0,81,81,81,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
83,green,0,82,82,82,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
84,green,0,83,83,83,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
85,green,0,84,84,84,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
86,green,0,85,85,85,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
87,green,0,86,86,86,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
88,green,0,87,87,87,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
89,green,0,88,88,88,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
90,green,0,89,89,89,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
91,green,0,90,90,90,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
92,green,0,91,91,91,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
93,green,0,92,92,92,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
94,green,0,93,93,93,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
95,green,0,94,94,94,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
96,green,0,95,95,95,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
97,green,0,96,96,96,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
98,green,0,97,97,97,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
99,green,0,98,98,98,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
100,green,0,99,99,99,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
101,green,0,100,100,100,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
102,green,0,101,101,101,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
103,green,0,102,102,102,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
104,green,0,103,103,103,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
105,green,0,104,104,104,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
106,green,0,105,105,105,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
107,green,0,106,106,106,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
108,green,0,107,107,107,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
109,green,0,108,108,108,,,,,,001,2019_Aug_08_2005,MTEC_paradigm,3.1.3,147.79278859086196,
