path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,n,image_emotion_meas_neg.started_mean,image_emotion_meas_neg.started_raw,image_emotion_meas_neg.started_std,image_emotion_meas_neg.stopped_raw,rating_emotion_evaluation_neg.response_mean,rating_emotion_evaluation_neg.response_raw,rating_emotion_evaluation_neg.response_std,rating_emotion_evaluation_neg.rt_mean,rating_emotion_evaluation_neg.rt_raw,rating_emotion_evaluation_neg.rt_std,order
resources\pictures\,Negative\,8185.0,skydiving,.jpg,resources\pictures\Negative\8185.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,871.5701293945312,871.5701293945312,0.0,,2.0,2.0,0.0,3.2750000953674316,3.2750000953674316,0.0,7.0
resources\pictures\,Negative\,8400.0,rafting,.jpg,resources\pictures\Negative\8400.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1051.37158203125,1051.37158203125,0.0,,2.0,2.0,0.0,2.315000057220459,2.315000057220459,0.0,20.0
resources\pictures\,Negative\,9280.0,pollution,.jpg,resources\pictures\Negative\9280.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,911.4893798828125,911.4893798828125,0.0,,2.0,2.0,0.0,2.4820001125335693,2.4820001125335693,0.0,10.0
resources\pictures\,Negative\,9341.0,child in garbage river,.jpg,resources\pictures\Negative\9341.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1010.3726806640625,1010.3726806640625,0.0,,2.0,2.0,0.0,6.145999908447266,6.145999908447266,0.0,17.0
resources\pictures\,Negative\,9417.0,getting a ticket,.jpg,resources\pictures\Negative\9417.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,824.5326538085938,824.5326538085938,0.0,,2.0,2.0,0.0,0.9559999704360962,0.9559999704360962,0.0,3.0
resources\pictures\,Negative\,9584.0,dentist,.jpg,resources\pictures\Negative\9584.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,940.468505859375,940.468505859375,0.0,,2.0,2.0,0.0,2.1549999713897705,2.1549999713897705,0.0,12.0

extraInfo
participant,1
session,001
date,2019_Aug_20_1050
expName,MTEC_paradigm
psychopyVersion,3.1.5
frameRate,47.97384849316712
