Tick,Color,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,emotion_trials_pos.thisRepN,emotion_trials_pos.thisTrialN,emotion_trials_pos.thisN,emotion_trials_pos.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,text_baseline_instructions_title.started,text_baseline_instructions_title.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,rating_baseline.response,rating_baseline.rt,text_part_one_evaluation.started,text_part_one_evaluation.stopped,rating_stress_part_one.response,rating_stress_part_one.rt,text_part_one_evaluation_2.started,text_part_one_evaluation_2.stopped,text_word_item.started,text_word_item.stopped,key_resp_stress_part_two.keys,key_resp_stress_part_two.rt,key_resp_stress_part_two.started,key_resp_stress_part_two.stopped,rating_stress_part_two.response,rating_stress_part_two.rt,text_cooldown_title.started,text_cooldown_title.stopped,text_cooldown.started,text_cooldown.stopped,text_cooldown_instructions_title.started,text_cooldown_instructions_title.stopped,text_cooldown_measurement.started,text_cooldown_measurement.stopped,rating_cooldown.response,rating_cooldown.rt,text_emotion_screen_title.started,text_emotion_screen_title.stopped,text_emotion_screen.started,text_emotion_screen.stopped,text_emotion_screen_pos_title.started,text_emotion_screen_pos_title.stopped,text_emotion_pos_screen.started,text_emotion_pos_screen.stopped,image_emotion_meas_pos.started,image_emotion_meas_pos.stopped,rating_emotion_evaluation_pos.response,rating_emotion_evaluation_pos.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.217,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2355,MTEC_paradigm,3.1.3,147.6601041595105,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.57239670000035,None,81.57239670000035,None,86.5710294999999,91.57286320000003,102.07180160000007,None,3,4.049,,,,,,,,,,,,,,001,2019_Aug_14_2355,MTEC_paradigm,3.1.3,147.6601041595105,
,,,,,,,resources\pictures\,Positive\,5891.0,clouds 1,.jpg,resources\pictures\Positive\5891.jpg,1024,768,1.7999999999999998,1.2999999999999998,"(1.8, 1.3)",,,,,,,,,0,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.5219092999996,None,112.5219092999996,None,117.52309460000015,None,117.52309460000015,None,130.0711239000002,None,4,11.147,,001,2019_Aug_14_2355,MTEC_paradigm,3.1.3,147.6601041595105,
,,,,,,,resources\pictures\,Positive\,5780.0,lakeview,.jpg,resources\pictures\Positive\5780.jpg,1024,768,1.7999999999999998,1.2999999999999998,"(1.8, 1.3)",,,,,,,,,0,1,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.23955260000002,None,4,12.385,,001,2019_Aug_14_2355,MTEC_paradigm,3.1.3,147.6601041595105,
,,,,,,,resources\pictures\,Positive\,1463.0,group of cats,.jpg,resources\pictures\Positive\1463.jpg,1024,768,1.7999999999999998,1.2999999999999998,"(1.8, 1.3)",,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.65672259999974,None,2,5.785,,001,2019_Aug_14_2355,MTEC_paradigm,3.1.3,147.6601041595105,
,,,,,,,resources\pictures\,Positive\,1710.0,three dogs,.jpg,resources\pictures\Positive\1710.jpg,1024,768,1.7999999999999998,1.2999999999999998,"(1.8, 1.3)",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.46373669999957,None,4,1.628,,001,2019_Aug_14_2355,MTEC_paradigm,3.1.3,147.6601041595105,
,,,,,,,resources\pictures\,Positive\,1811.0,group of apes,.jpg,resources\pictures\Positive\1811.jpg,1024,768,1.7999999999999998,1.2999999999999998,"(1.8, 1.3)",,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.12631760000022,None,4,2.797,,001,2019_Aug_14_2355,MTEC_paradigm,3.1.3,147.6601041595105,
,,,,,,,resources\pictures\,Positive\,5760.0,flowers,.jpg,resources\pictures\Positive\5760.jpg,1024,768,1.7999999999999998,1.2999999999999998,"(1.8, 1.3)",,,,,,,,,0,5,5,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.98057030000018,None,4,1.979,,001,2019_Aug_14_2355,MTEC_paradigm,3.1.3,147.6601041595105,
,,,,,,,resources\pictures\,Positive\,4626.0,marriage scene,.jpg,resources\pictures\Positive\4626.jpg,1024,768,1.7999999999999998,1.2999999999999998,"(1.8, 1.3)",,,,,,,,,0,6,6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.96141379999972,None,4,2.275,,001,2019_Aug_14_2355,MTEC_paradigm,3.1.3,147.6601041595105,
,,,,,,,resources\pictures\,Positive\,7502.0,disney land,.jpg,resources\pictures\Positive\7502.jpg,1024,768,1.7999999999999998,1.2999999999999998,"(1.8, 1.3)",,,,,,,,,0,7,7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.2667134000003,None,4,1.61,,001,2019_Aug_14_2355,MTEC_paradigm,3.1.3,147.6601041595105,
,,,,,,,resources\pictures\,Positive\,2550.0,happy elderly couple,.jpg,resources\pictures\Positive\2550.jpg,1024,768,1.7999999999999998,1.2999999999999998,"(1.8, 1.3)",,,,,,,,,0,8,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.9016214000003,None,4,1.766,,001,2019_Aug_14_2355,MTEC_paradigm,3.1.3,147.6601041595105,
,,,,,,,resources\pictures\,Positive\,8497.0,family on rollercoaster,.jpg,resources\pictures\Positive\8497.jpg,1024,768,1.7999999999999998,1.2999999999999998,"(1.8, 1.3)",,,,,,,,,0,9,9,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.6954033000002,None,4,1.986,,001,2019_Aug_14_2355,MTEC_paradigm,3.1.3,147.6601041595105,
,,,,,,,resources\pictures\,Positive\,8501.0,money,.jpg,resources\pictures\Positive\8501.jpg,1024,768,1.7999999999999998,1.2999999999999998,"(1.8, 1.3)",,,,,,,,,0,10,10,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.74315690000003,None,4,1.875,,001,2019_Aug_14_2355,MTEC_paradigm,3.1.3,147.6601041595105,
,,,,,,,resources\pictures\,Positive\,5831.0,father and son beach,.jpg,resources\pictures\Positive\5831.jpg,1024,768,1.7999999999999998,1.2999999999999998,"(1.8, 1.3)",,,,,,,,,0,11,11,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.6216537,None,4,1.605,,001,2019_Aug_14_2355,MTEC_paradigm,3.1.3,147.6601041595105,
,,,,,,,resources\pictures\,Positive\,1750.0,rabit,.jpg,resources\pictures\Positive\1750.jpg,1024,768,1.7999999999999998,1.2999999999999998,"(1.8, 1.3)",,,,,,,,,0,12,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.2547418000004,None,4,6.204,,001,2019_Aug_14_2355,MTEC_paradigm,3.1.3,147.6601041595105,
,,,,,,,resources\pictures\,Positive\,2655.0,boy and dog,.jpg,resources\pictures\Positive\2655.jpg,1024,768,1.7999999999999998,1.2999999999999998,"(1.8, 1.3)",,,,,,,,,0,13,13,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.48042179999993,None,4,2.981,,001,2019_Aug_14_2355,MTEC_paradigm,3.1.3,147.6601041595105,
,,,,,,,resources\pictures\,Positive\,2341.0,children and kitten,.jpg,resources\pictures\Positive\2341.jpg,1024,768,1.7999999999999998,1.2999999999999998,"(1.8, 1.3)",,,,,,,,,0,14,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.49375340000006,None,4,1.944,,001,2019_Aug_14_2355,MTEC_paradigm,3.1.3,147.6601041595105,
,,,,,,,resources\pictures\,Positive\,2339.0,football group,.jpg,resources\pictures\Positive\2339.jpg,800,600,2.3,1.7,"(2.3, 1.7)",,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.47709980000036,None,4,20.711,,001,2019_Aug_14_2355,MTEC_paradigm,3.1.3,147.6601041595105,
