path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,n,image_emotion_meas_neg.started_mean,image_emotion_meas_neg.started_raw,image_emotion_meas_neg.started_std,image_emotion_meas_neg.stopped_raw,rating_emotion_evaluation_neg.response_mean,rating_emotion_evaluation_neg.response_raw,rating_emotion_evaluation_neg.response_std,rating_emotion_evaluation_neg.rt_mean,rating_emotion_evaluation_neg.rt_raw,rating_emotion_evaluation_neg.rt_std,order
resources\pictures\,Negative\,8185.0,skydiving,.jpg,resources\pictures\Negative\8185.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,907.7161865234375,907.7161865234375,0.0,,2.0,2.0,0.0,1.5859999656677246,1.5859999656677246,0.0,12.0
resources\pictures\,Negative\,8400.0,rafting,.jpg,resources\pictures\Negative\8400.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,832.5350341796875,832.5350341796875,0.0,,2.0,2.0,0.0,4.710000038146973,4.710000038146973,0.0,6.0
resources\pictures\,Negative\,9280.0,pollution,.jpg,resources\pictures\Negative\9280.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1368.01611328125,1368.01611328125,0.0,,2.0,2.0,0.0,13.041000366210938,13.041000366210938,0.0,27.0
resources\pictures\,Negative\,9341.0,child in garbage river,.jpg,resources\pictures\Negative\9341.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,847.2831420898438,847.2831420898438,0.0,,2.0,2.0,0.0,1.6829999685287476,1.6829999685287476,0.0,7.0
resources\pictures\,Negative\,9417.0,getting a ticket,.jpg,resources\pictures\Negative\9417.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1278.4151611328125,1278.4151611328125,0.0,,2.0,2.0,0.0,0.8920000195503235,0.8920000195503235,0.0,19.0
resources\pictures\,Negative\,9584.0,dentist,.jpg,resources\pictures\Negative\9584.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,942.5321044921875,942.5321044921875,0.0,,2.0,2.0,0.0,34.354000091552734,34.354000091552734,0.0,15.0

extraInfo
participant,
session,001
date,2019_Aug_15_0014
expName,MTEC_paradigm
psychopyVersion,3.1.3
frameRate,147.857908552986
