n_path,n_weight,n_name,n_description,n_type,n_pictures,n_pic_width,n_pic_height,n_new_width,n_new_height,n_new_size,n,rating_emotion_n_eval_o.response_mean,rating_emotion_n_eval_o.response_raw,rating_emotion_n_eval_o.response_std,rating_emotion_n_eval_o.rt_mean,rating_emotion_n_eval_o.rt_raw,rating_emotion_n_eval_o.rt_std,rating_emotion_n_eval_t.response_mean,rating_emotion_n_eval_t.response_raw,rating_emotion_n_eval_t.response_std,rating_emotion_n_eval_t.rt_mean,rating_emotion_n_eval_t.rt_raw,rating_emotion_n_eval_t.rt_std,text_emotion_n_eval_t.started_mean,text_emotion_n_eval_t.started_raw,text_emotion_n_eval_t.started_std,text_emotion_n_eval_t.stopped_raw,order
Resources\Pictures\,Negative\,8179.0,bungee jump,.jpg,Resources\Pictures\Negative\8179.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,5.061999797821045,5.061999797821045,0.0,2.0,2.0,0.0,8.440999984741211,8.440999984741211,0.0,2020.6383056640625,2020.6383056640625,0.0,,17.0
Resources\Pictures\,Negative\,9280.0,pollution,.jpg,Resources\Pictures\Negative\9280.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,8.758000373840332,8.758000373840332,0.0,1.0,1.0,0.0,4.2129998207092285,4.2129998207092285,0.0,2038.939208984375,2038.939208984375,0.0,,18.0
Resources\Pictures\,Negative\,9341.0,child in garbage river,.jpg,Resources\Pictures\Negative\9341.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,4.574999809265137,4.574999809265137,0.0,1.0,1.0,0.0,2.5429999828338623,2.5429999828338623,0.0,2048.8349609375,2048.8349609375,0.0,,19.0
Resources\Pictures\,Negative\,9584.0,dentist,.jpg,Resources\Pictures\Negative\9584.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,11.758000373840332,11.758000373840332,0.0,1.0,1.0,0.0,10.440999984741211,10.440999984741211,0.0,2064.23486328125,2064.23486328125,0.0,,20.0
Resources\Pictures\,Negative\,9592.0,syringe,.jpg,Resources\Pictures\Negative\9592.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,9.758000373840332,9.758000373840332,0.0,1.0,1.0,0.0,3.063999891281128,3.063999891281128,0.0,2085.533935546875,2085.533935546875,0.0,,21.0
Resources\Pictures\,Negative\,1201.0,spider on shoulder,.jpg,Resources\Pictures\Negative\1201.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,8.642000198364258,8.642000198364258,0.0,1.0,1.0,0.0,4.245999813079834,4.245999813079834,0.0,2098.340087890625,2098.340087890625,0.0,,22.0
Resources\Pictures\,Negative\,1726.0,roaring tiger,.jpg,Resources\Pictures\Negative\1726.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,25.875,25.875,0.0,1.0,1.0,0.0,9.838000297546387,9.838000297546387,0.0,2129.568603515625,2129.568603515625,0.0,,23.0
Resources\Pictures\,Negative\,1931.0,shark,.jpg,Resources\Pictures\Negative\1931.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,5.109000205993652,5.109000205993652,0.0,1.0,1.0,0.0,4.26200008392334,4.26200008392334,0.0,2145.618408203125,2145.618408203125,0.0,,24.0
Resources\Pictures\,Negative\,2100.0,angry man,.jpg,Resources\Pictures\Negative\2100.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,7.28000020980835,7.28000020980835,0.0,1.0,1.0,0.0,3.5329999923706055,3.5329999923706055,0.0,2158.255126953125,2158.255126953125,0.0,,25.0
Resources\Pictures\,Negative\,2110.0, angry man 2,.jpg,Resources\Pictures\Negative\2110.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,8.847000122070312,8.847000122070312,0.0,1.0,1.0,0.0,0.9679999947547913,0.9679999947547913,0.0,2171.72705078125,2171.72705078125,0.0,,26.0
Resources\Pictures\,Negative\,2692.0,bomb,.jpg,Resources\Pictures\Negative\2692.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,6.559999942779541,6.559999942779541,0.0,1.0,1.0,0.0,4.413000106811523,4.413000106811523,0.0,2180.35498046875,2180.35498046875,0.0,,27.0
