['Dataset: complete_dict', 'Number of Neighbors: 24', 'Accuracy Test Data: 0.23', 'Prediction Test Data: [1. 5. 1. 5. 1. 5. 5. 1. 1. 1. 1. 1. 1. 5. 1. 1. 5. 1. 5. 1. 1. 0. 1. 1.\n 1. 1.]']
['Dataset: complete_dict', 'Number of Neighbors: 25', 'Accuracy Test Data: 0.27', 'Prediction Test Data: [1. 5. 1. 5. 1. 5. 5. 1. 1. 1. 1. 1. 1. 5. 1. 1. 5. 1. 5. 1. 1. 1. 1. 1.\n 1. 1.]']
['Dataset: complete_dict', 'Number of Neighbors: 26', 'Accuracy Test Data: 0.27', 'Prediction Test Data: [1. 5. 1. 5. 1. 1. 5. 1. 1. 1. 1. 1. 1. 5. 1. 1. 1. 1. 5. 1. 1. 1. 1. 1.\n 1. 1.]']
['Dataset: complete_dict', 'Number of Neighbors: 27', 'Accuracy Test Data: 0.27', 'Prediction Test Data: [1. 5. 1. 5. 1. 1. 5. 1. 1. 1. 1. 1. 1. 5. 1. 1. 1. 1. 5. 1. 1. 1. 1. 1.\n 1. 1.]']
['Dataset: complete_dict', 'Number of Neighbors: 28', 'Accuracy Test Data: 0.27', 'Prediction Test Data: [1. 5. 1. 5. 1. 1. 5. 1. 1. 1. 1. 1. 1. 5. 1. 1. 1. 1. 5. 1. 1. 1. 1. 1.\n 1. 1.]']
['Dataset: complete_dict', 'Number of Neighbors: 29', 'Accuracy Test Data: 0.27', 'Prediction Test Data: [1. 5. 1. 5. 1. 1. 5. 1. 1. 1. 1. 1. 1. 5. 1. 1. 1. 1. 5. 1. 1. 1. 1. 1.\n 1. 1.]']
['Dataset: complete_dict', 'Number of Neighbors: 30', 'Accuracy Test Data: 0.27', 'Prediction Test Data: [1. 5. 1. 5. 1. 1. 5. 1. 1. 1. 1. 1. 1. 5. 1. 1. 1. 1. 5. 1. 1. 1. 1. 1.\n 1. 1.]']
['Dataset: complete_dict', 'Number of Neighbors: 31', 'Accuracy Test Data: 0.27', 'Prediction Test Data: [1. 5. 1. 5. 1. 1. 5. 1. 1. 1. 1. 1. 1. 5. 1. 1. 1. 1. 5. 1. 1. 1. 1. 1.\n 1. 1.]']
['Dataset: complete_dict', 'Number of Neighbors: 32', 'Accuracy Test Data: 0.27', 'Prediction Test Data: [1. 5. 1. 5. 1. 1. 5. 1. 1. 1. 1. 1. 1. 5. 1. 1. 1. 1. 5. 1. 1. 1. 1. 1.\n 1. 1.]']
['Dataset: complete_dict', 'Number of Neighbors: 33', 'Accuracy Test Data: 0.27', 'Prediction Test Data: [1. 5. 1. 5. 1. 1. 5. 1. 1. 1. 1. 1. 1. 5. 1. 1. 1. 1. 5. 1. 1. 1. 1. 1.\n 1. 1.]']
