['Dataset: rest_v_all_dict', 'n_hidden_layers: 1', 'n_hidden_nodes: 100', 'alpha: 0.0001', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'n_hidden_layers: 1', 'n_hidden_nodes: 100', 'alpha: 0.001', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: rest_v_all_dict', 'n_hidden_layers: 1', 'n_hidden_nodes: 100', 'alpha: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: rest_v_all_dict', 'n_hidden_layers: 1', 'n_hidden_nodes: 100', 'alpha: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'n_hidden_layers: 1', 'n_hidden_nodes: 100', 'alpha: 1', 'Score Train Data: 0.934', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'n_hidden_layers: 2', 'n_hidden_nodes: 5', 'alpha: 0.0001', 'Score Train Data: 1.000', 'Score Test Data: 0.769']
['Dataset: rest_v_all_dict', 'n_hidden_layers: 2', 'n_hidden_nodes: 5', 'alpha: 0.001', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'n_hidden_layers: 2', 'n_hidden_nodes: 5', 'alpha: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.769']
['Dataset: rest_v_all_dict', 'n_hidden_layers: 2', 'n_hidden_nodes: 5', 'alpha: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: rest_v_all_dict', 'n_hidden_layers: 2', 'n_hidden_nodes: 5', 'alpha: 1', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'n_hidden_layers: 2', 'n_hidden_nodes: 10', 'alpha: 0.0001', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: rest_v_all_dict', 'n_hidden_layers: 2', 'n_hidden_nodes: 10', 'alpha: 0.001', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: rest_v_all_dict', 'n_hidden_layers: 2', 'n_hidden_nodes: 10', 'alpha: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.808']
['Dataset: rest_v_all_dict', 'n_hidden_layers: 2', 'n_hidden_nodes: 10', 'alpha: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'n_hidden_layers: 2', 'n_hidden_nodes: 10', 'alpha: 1', 'Score Train Data: 0.947', 'Score Test Data: 0.923']
