['Dataset: complete_dict', 'C: 50', 'Gamma: 0.05', 'Score Train Data: 0.816', 'Score Test Data: 0.423']
['Dataset: complete_dict', 'C: 50', 'Gamma: 0.1', 'Score Train Data: 0.895', 'Score Test Data: 0.462']
['Dataset: complete_dict', 'C: 50', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.346']
['Dataset: complete_dict', 'C: 50', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.269']
['Dataset: complete_dict', 'C: 50', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.346']
['Dataset: complete_dict', 'C: 50', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'C: 25', 'Gamma: 0.01', 'Score Train Data: 0.618', 'Score Test Data: 0.577']
['Dataset: complete_dict', 'C: 25', 'Gamma: 0.05', 'Score Train Data: 0.737', 'Score Test Data: 0.500']
['Dataset: complete_dict', 'C: 25', 'Gamma: 0.1', 'Score Train Data: 0.829', 'Score Test Data: 0.423']
['Dataset: complete_dict', 'C: 25', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.346']
['Dataset: complete_dict', 'C: 25', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.269']
['Dataset: complete_dict', 'C: 25', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.346']
['Dataset: complete_dict', 'C: 25', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'C: 10', 'Gamma: 0.01', 'Score Train Data: 0.526', 'Score Test Data: 0.500']
['Dataset: complete_dict', 'C: 10', 'Gamma: 0.05', 'Score Train Data: 0.684', 'Score Test Data: 0.538']
['Dataset: complete_dict', 'C: 10', 'Gamma: 0.1', 'Score Train Data: 0.724', 'Score Test Data: 0.500']
['Dataset: complete_dict', 'C: 10', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'C: 10', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.269']
['Dataset: complete_dict', 'C: 10', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.346']
['Dataset: complete_dict', 'C: 10', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'C: 5', 'Gamma: 0.01', 'Score Train Data: 0.395', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'C: 5', 'Gamma: 0.05', 'Score Train Data: 0.618', 'Score Test Data: 0.538']
['Dataset: complete_dict', 'C: 5', 'Gamma: 0.1', 'Score Train Data: 0.671', 'Score Test Data: 0.500']
['Dataset: complete_dict', 'C: 5', 'Gamma: 0.5', 'Score Train Data: 0.868', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'C: 5', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.308']
['Dataset: complete_dict', 'C: 5', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.346']
['Dataset: complete_dict', 'C: 5', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'C: 3', 'Gamma: 0.01', 'Score Train Data: 0.382', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'C: 3', 'Gamma: 0.05', 'Score Train Data: 0.566', 'Score Test Data: 0.538']
['Dataset: complete_dict', 'C: 3', 'Gamma: 0.1', 'Score Train Data: 0.645', 'Score Test Data: 0.500']
['Dataset: complete_dict', 'C: 3', 'Gamma: 0.5', 'Score Train Data: 0.816', 'Score Test Data: 0.346']
['Dataset: complete_dict', 'C: 3', 'Gamma: 1.0', 'Score Train Data: 0.987', 'Score Test Data: 0.346']
['Dataset: complete_dict', 'C: 3', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.346']
['Dataset: complete_dict', 'C: 3', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
