['Dataset: stress_v_all_dict', 'NumberOfEstimators: 5', 'MaxFeatures: 62', 'Score Train Data: 0.99', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 250', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 250', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 250', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 500', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 500', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 500', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 1000', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 1000', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 1000', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
[]
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 5', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 5', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 5', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 250', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 250', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 250', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 500', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 500', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 500', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 1000', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 1000', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 1000', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
[]
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 5', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 5', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 5', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 250', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
